,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
7460,1,3,4,1, 31, 1, 1, 0,0,*3, 0,0.33333333, 1
7706,1,3,7,1,  7, 0, 0, 1,0,*2, 1,0.81030445,16
7876,1,3,2,*0,  6, 7, 0, 0,0,0, 2,0.92391304, 5
8131,1,4,*2,1,  1, 0, 1, 1,0,0, 0,0.85294118,92
8162,1,3,*2,1,  5, 0, 1, 1,0,0, 0,0.85294118,92
8312,1,4,*6,1,  6, 0, 0, 3,0,0, 1,0.78125000,16
8317,1,3,*6,1,  6, 0, 0, 2,0,1, 1,0.81839080,18
8444,1,4,*6,1, 20, 2, 1, 1,0,0, 1,0.54285714, 9
8470,1,5,1,1,  3, 0, 0, 1,0,0, 1,*0.12500000,92
8606,1,4,4,*0,  8, 0, 0, 0,0,0, 0,0.72115385, 8
8623,1,5,*6,1,  6, 0, 0, 0,1,0, 0,0.82191781,15
8628,1,5,*6,1,  7, 0, 0, 0,1,0, 0,0.83365949,15
8642,1,2,1,1,  6, 0, 0, 1,1,0, 1,*0.20000000, 8
8729,1,*5,1,1,  4, 0, 1, 1,0,0, 0,0.86046512,17
8826,1,3,*2,1,  4, 0, 1, 1,0,0, 0,0.69565217,12
8896,1,4,*6,1,  4, 0, 0, 2,0,1, 1,0.82579186,18
9026,1,3,4,*0, 16, 2, 0, 0,0,0, 1,0.63432836, 1
9056,1,3,1,1,  7, 0, 0,* 4,0,0, 2,0.80555556, 9
9281,1,3,7,1, 34, 1, 0, 0,0,*2, 0,0.64285714, 2
9285,1,4,*6,1, 15, 0, 0, 1,0,0, 1,0.81919643,16
9287,1,3,*6,1,  5, 0, 0, 2,0,0, 1,0.81919643,18
9349,1,4,*2,1, 16, 0, 1, 1,0,0, 1,0.62162162,10
9405,1,1,4,1, 99, 2, 1, 3,*2,1, 4,0.82993197,41
9431,1,3,*2,1,  6, 0, 0, 1,0,0, 1,0.85842697, 1
9520,1,3,3,1, 23, 7, 0, 0,0,*4, 5,0.83333333, 5
9545,1,3,*2,1,  0, 0, 1, 1,0,0, 0,0.45833333,11
9856,1,4,*2,1, 27, 0, 2, 3,0,0, 5,0.66666667, 4
9890,1,3,*2,1,  1, 0, 1, 1,0,0, 0,0.42857143, 7
9900,1,3,*2,1,  1, 0, 1, 1,0,0, 0,0.42857143, 7
10160,1,3,1,1,  9, 1, 0, 1,0,0, 1,*0.20000000, 4
10171,1,*1,1,1,  9, 0, 3, 4,0,0, 0,0.90998043, 6
10175,1,*1,1,1, 39, 1, 3, 4,0,0, 0,0.90998043, 5
10176,1,*1,1,1, 40, 1, 3, 4,0,0, 1,0.90998043, 5
10183,1,5,*6,1,  1, 0, 1, 1,0,0, 0,0.44186047,15
10233,1,3,3,1, 35, 1, 0, 0,0,*4, 0,0.84615385,13
10239,1,3,3,1, 35, 1, 0, 0,0,*4, 0,0.87867178,13
10689,1,4,4,1, 12, 1, 0, 2,1,*2, 0,0.72468917,51
