issuekey	days	death	priority	issuetype	reporterrep	no_fixversion	no_issuelink	no_affectversion
DIRAPI-132	3	1	1	1	3.0	1	1	1
DIRAPI-133	3	1	3	1	3.0	1	0	1
DIRAPI-98	1487	1	3	1	3.0	1	0	0
DIRECTMEMORY-53	60	1	4	4	1.0	1	1	0
DIRECTMEMORY-54	3	1	4	1	2.0	1	0	0
DIRECTMEMORY-55	0	1	4	1	3.0	1	0	0
DIRECTMEMORY-56	0	1	5	4	3.0	1	0	0
DIRECTMEMORY-57	299	1	4	1	3.0	1	0	0
DIRECTMEMORY-58	0	1	4	4	3.0	1	0	0
DIRECTMEMORY-59	0	1	3	1	1.0	1	0	0
DIRECTMEMORY-77	0	1	5	4	3.0	1	1	0
DIRMINA-188	3099	1	4	3	2.0	1	0	0
DIRMINA-19	0	1	4	1	1.0	1	0	1
DIRMINA-210	3050	1	3	4	1.0	1	0	0
DIRMINA-237	2960	1	4	4	1.0	1	0	1
DIRMINA-389	2632	1	4	2	1.0	1	0	0
DIRMINA-477	2492	1	3	3	2.0	1	0	0
DIRMINA-489	2467	1	3	2	1.0	1	0	0
DIRMINA-539	2379	1	3	1	1.0	1	0	1
DIRMINA-574	2329	1	1	1	1.0	1	0	3
DIRMINA-593	1662	1	3	4	1.0	1	1	1
DIRMINA-654	1627	1	3	2	1.0	1	0	0
DIRMINA-764	1668	1	1	1	3.0	1	1	1
DIRMINA-793	0	1	4	1	3.0	1	0	1
DIRMINA-816	1324	1	3	2	1.0	1	0	1
DIRMINA-897	6	1	3	1	1.0	1	0	1
DIRMINA-898	0	1	3	1	1.0	1	0	1
DIRMINA-942	510	1	3	1	1.0	1	0	1
DIRSERVER-10	77	1	2	1	1.0	1	0	1
DIRSERVER-101	1	1	3	1	4.0	1	1	1
DIRSERVER-105	29	1	3	1	4.0	1	0	1
DIRSERVER-1092	2320	1	3	1	1.0	1	0	1
DIRSERVER-11	25	1	3	1	4.0	1	0	1
DIRSERVER-111	301	1	3	1	1.0	1	0	1
DIRSERVER-1185	1567	1	3	2	1.0	1	0	0
DIRSERVER-1193	1696	1	3	3	4.0	1	0	0
DIRSERVER-1198	1665	1	3	1	1.0	1	1	0
DIRSERVER-1203	1796	1	3	2	1.0	1	0	1
DIRSERVER-1236	1726	1	4	4	2.0	1	0	1
DIRSERVER-1252	2004	1	2	1	4.0	1	0	2
DIRSERVER-1294	1614	1	4	4	3.0	1	0	1
DIRSERVER-13	1	1	3	1	4.0	1	1	1
DIRSERVER-1338	1513	1	5	4	1.0	1	1	1
DIRSERVER-14	2	1	3	1	4.0	1	1	1
DIRSERVER-141	896	1	4	2	1.0	1	0	0
DIRSERVER-153	895	1	4	2	3.0	1	0	0
DIRSERVER-155	839	1	4	2	1.0	0	0	0
DIRSERVER-159	23	1	2	2	4.0	0	0	0
DIRSERVER-160	14	1	3	2	3.0	0	0	0
DIRSERVER-161	301	1	3	2	1.0	0	0	0
DIRSERVER-163	66	1	3	2	1.0	0	0	0
DIRSERVER-1633	2	1	1	1	4.0	1	0	0
DIRSERVER-165	18	1	3	2	1.0	0	0	0
DIRSERVER-166	282	1	4	2	1.0	0	0	0
DIRSERVER-17	1	1	3	1	4.0	1	1	1
DIRSERVER-1734	0	1	3	1	1.0	1	0	1
DIRSERVER-1809	701	1	2	4	1.0	1	0	1
DIRSERVER-1829	42	1	4	1	1.0	1	0	1
DIRSERVER-21	27	1	3	1	4.0	1	2	1
DIRSERVER-22	27	1	3	1	4.0	1	1	1
DIRSERVER-26	697	1	5	1	4.0	1	0	1
DIRSERVER-289	2676	1	4	4	4.0	1	1	3
DIRSERVER-29	27	1	4	1	4.0	1	0	1
DIRSERVER-299	85	1	3	1	4.0	0	0	0
DIRSERVER-31	1	1	1	1	1.0	1	0	1
DIRSERVER-36	1	1	3	1	4.0	1	1	1
DIRSERVER-37	1	1	3	1	4.0	1	1	1
DIRSERVER-39	612	1	3	1	3.0	1	0	1
DIRSERVER-396	122	1	4	2	1.0	0	0	0
DIRSERVER-398	18	1	3	2	4.0	0	0	0
DIRSERVER-400	111	1	4	2	1.0	0	0	0
DIRSERVER-409	3	1	3	2	1.0	0	0	0
DIRSERVER-410	4	1	3	2	4.0	0	0	0
DIRSERVER-425	14	1	4	2	4.0	0	1	0
DIRSERVER-428	122	1	4	2	1.0	0	0	0
DIRSERVER-44	29	1	3	1	4.0	1	0	1
DIRSERVER-442	2724	1	4	2	4.0	1	1	0
DIRSERVER-53	1	1	3	1	4.0	1	1	1
DIRSERVER-575	3451	1	3	3	4.0	1	0	0
DIRSERVER-59	27	1	3	1	4.0	1	0	1
DIRSERVER-62	6	1	3	1	4.0	1	1	1
DIRSERVER-63	1	1	3	1	4.0	1	1	1
DIRSERVER-66	29	1	3	1	4.0	1	0	1
DIRSERVER-72	27	1	3	1	4.0	1	0	1
DIRSERVER-74	130	1	3	1	4.0	1	0	1
DIRSERVER-76	1	1	3	1	4.0	1	1	1
DIRSERVER-77	1	1	3	1	4.0	1	1	1
DIRSERVER-79	16	1	1	1	4.0	1	2	1
DIRSERVER-8	1	1	3	1	4.0	1	1	1
DIRSERVER-81	27	1	3	1	4.0	1	0	1
DIRSERVER-859	0	1	1	1	4.0	2	1	3
DIRSERVER-893	0	1	1	1	4.0	1	0	0
DIRSERVER-9	27	1	3	1	4.0	1	2	1
DIRSERVER-92	27	1	3	1	4.0	1	2	1
DIRSERVER-93	1	1	3	1	4.0	1	1	1
DIRSERVER-96	28	1	3	1	4.0	1	0	1
DIRSHARED-101	9	1	3	5	4.0	1	0	1
DIRSHARED-103	4	1	3	5	4.0	1	0	1
DIRSHARED-130	1	1	3	1	4.0	0	0	1
DIRSHARED-79	4	1	3	3	4.0	1	0	0
DIRSHARED-84	20	1	3	3	4.0	1	0	1
DIRSHARED-85	0	1	3	5	4.0	1	0	1
DIRSHARED-86	18	1	3	5	4.0	1	0	1
DIRSHARED-87	1	1	3	5	4.0	1	0	1
DIRSHARED-88	5	1	3	5	4.0	1	0	1
DIRSHARED-89	18	1	3	5	4.0	1	0	1
DIRSHARED-90	18	1	3	5	4.0	1	0	1
DIRSHARED-91	9	1	3	5	4.0	1	0	1
DIRSHARED-92	18	1	3	5	4.0	1	0	1
DIRSHARED-93	20	1	3	5	4.0	1	0	1
DIRSHARED-94	20	1	3	5	4.0	1	0	1
DIRSHARED-95	0	1	3	5	4.0	1	0	1
DIRSHARED-96	16	1	3	5	4.0	1	0	1
DIRSHARED-98	14	1	3	5	4.0	1	0	1
DIRSTUDIO-413	1155	1	3	4	1.0	2	0	0
DIRSTUDIO-432	1118	1	3	4	1.0	2	0	0
DIRSTUDIO-445	1088	1	3	4	1.0	2	0	1
DIRSTUDIO-446	1088	1	4	4	1.0	2	0	0
DIRSTUDIO-447	1088	1	3	4	1.0	2	0	0
DIRSTUDIO-454	1041	1	3	1	3.0	2	2	1
DIRSTUDIO-646	1710	1	5	3	1.0	1	0	0
DIRSTUDIO-819	710	1	3	1	1.0	1	2	1
DIRSTUDIO-855	877	1	4	1	1.0	1	0	1
DIRSTUDIO-903	0	1	3	1	1.0	2	0	1
DISCOVERY-14	0	1	3	4	1.0	1	0	1
DISCOVERY-15	0	1	3	4	1.0	1	0	1
DISCOVERY-17	1	1	3	1	3.0	1	0	1
DISPATCH-92	0	1	3	4	4.0	1	0	1
DMAP-176	15	1	4	3	1.0	0	0	0
DMAP-177	3	1	3	3	2.0	0	0	0
DMAP-181	47	1	3	3	3.0	1	0	0
DOSGI-10	1495	1	3	1	1.0	1	0	0
DOSGI-11	1614	1	3	1	1.0	1	0	0
DOSGI-123	119	1	3	1	1.0	1	0	1
DOSGI-172	42	1	3	1	1.0	1	0	1
DOSGI-173	40	1	3	1	2.0	1	1	1
DOSGI-18	1067	1	3	1	2.0	1	0	0
DOSGI-7	1026	1	4	1	1.0	1	1	0
DOXIA-170	1994	1	3	1	1.0	1	0	1
DRILL-1021	71	1	3	1	1.0	1	2	1
DRILL-1029	70	1	2	1	2.0	1	2	0
DRILL-1039	59	1	3	1	1.0	1	2	0
DRILL-1072	470	1	4	1	1.0	1	1	0
DRILL-1093	58	1	3	1	1.0	1	0	1
DRILL-1115	180	1	1	1	1.0	1	0	0
DRILL-1125	84	1	3	1	1.0	1	2	0
DRILL-1132	48	1	3	1	1.0	1	0	0
DRILL-1137	31	1	4	4	2.0	1	2	0
DRILL-1139	213	1	2	1	1.0	1	0	0
DRILL-1161	38	1	3	1	1.0	1	0	0
DRILL-1168	104	1	3	1	1.0	1	1	0
DRILL-1171	39	1	3	1	1.0	1	0	0
DRILL-1173	22	1	3	1	1.0	1	0	1
DRILL-1178	25	1	3	1	1.0	1	0	1
DRILL-1184	21	1	3	1	1.0	1	0	0
DRILL-1185	129	1	3	1	1.0	1	1	0
DRILL-1205	21	1	3	1	1.0	1	0	1
DRILL-1206	20	1	3	1	1.0	1	1	1
DRILL-1209	17	1	3	1	1.0	1	0	0
DRILL-1210	17	1	3	1	1.0	1	0	0
DRILL-1211	17	1	3	1	1.0	1	0	0
DRILL-1240	16	1	3	1	1.0	1	1	0
DRILL-1241	16	1	3	1	1.0	1	0	0
DRILL-1244	10	1	3	1	1.0	1	0	1
DRILL-1245	261	1	3	1	2.0	1	2	0
DRILL-1249	8	1	2	1	1.0	1	0	1
DRILL-1258	23	1	3	1	1.0	1	0	0
DRILL-1265	54	1	3	1	1.0	1	0	0
DRILL-1267	11	1	3	1	1.0	1	2	0
DRILL-1271	11	1	3	1	1.0	1	1	1
DRILL-1274	23	1	3	1	1.0	1	2	1
DRILL-1275	10	1	3	1	1.0	1	0	1
DRILL-1277	9	1	3	1	1.0	1	1	0
DRILL-1278	9	1	3	1	2.0	1	1	0
DRILL-1281	18	1	3	4	1.0	1	0	0
DRILL-1283	17	1	3	4	1.0	1	0	0
DRILL-1288	0	1	2	1	2.0	1	1	0
DRILL-1303	74	1	3	1	1.0	1	1	0
DRILL-1347	68	1	2	1	1.0	1	3	1
DRILL-1361	131	1	4	4	1.0	1	0	0
DRILL-1385	189	1	3	4	1.0	1	0	0
DRILL-1394	117	1	2	1	1.0	1	0	1
DRILL-1447	1	1	3	1	1.0	1	2	0
DRILL-1451	61	1	3	1	4.0	1	1	0
DRILL-1466	123	1	3	1	1.0	1	0	0
DRILL-1515	140	1	3	1	1.0	1	2	0
DRILL-1533	85	1	3	1	1.0	1	0	0
DRILL-1568	72	1	3	1	1.0	1	0	0
DRILL-1584	67	1	3	1	1.0	1	0	0
DRILL-1683	41	1	3	1	1.0	1	0	0
DRILL-1708	151	1	4	1	1.0	1	0	0
DRILL-1842	138	1	3	1	1.0	1	0	1
DRILL-1874	24	1	3	4	1.0	1	0	1
DRILL-2038	29	1	2	1	1.0	1	0	1
DRILL-2270	0	1	3	1	1.0	0	0	1
DRILL-3019	17	1	3	1	1.0	1	0	0
DRILL-342	66	1	3	1	4.0	1	0	0
DRILL-438	44	1	3	2	1.0	1	1	0
DRILL-462	376	1	3	1	1.0	1	0	0
DRILL-57	82	1	3	1	1.0	1	0	0
DRILL-584	233	1	3	1	1.0	1	0	0
DRILL-595	121	1	3	1	1.0	1	2	0
DRILL-73	0	1	4	4	1.0	1	0	0
DRILL-76	5	1	3	1	1.0	1	0	0
DRILL-80	74	1	3	4	3.0	1	0	0
DRILL-81	498	1	3	1	3.0	1	0	0
DRILL-811	99	1	3	1	1.0	1	1	0
DRILL-880	76	1	3	1	1.0	1	0	0
DRILL-884	20	1	2	1	1.0	1	2	0
DRILL-891	74	1	3	1	1.0	1	1	0
DRILL-895	73	1	3	1	1.0	1	1	0
DRILL-906	70	1	2	1	1.0	1	2	0
DRILL-922	70	1	3	1	1.0	1	0	0
DRILL-928	71	1	3	1	1.0	1	0	0
DRILL-931	50	1	1	1	1.0	1	4	0
DRILL-982	76	1	3	1	1.0	1	0	0
DRILL-998	73	1	3	1	1.0	1	1	0
DROIDS-70	0	1	1	4	1.0	1	1	1
DTACLOUD-5	0	1	3	1	1.0	0	0	0
DTACLOUD-532	2	1	3	1	1.0	0	0	0
EAGLE-168	0	1	3	1	1.0	1	0	1
EMPIREDB-116	0	1	3	4	3.0	1	0	1
EMPIREDB-118	0	1	5	1	4.0	1	0	1
EMPIREDB-124	0	1	5	4	4.0	1	0	1
EMPIREDB-15	0	1	3	1	2.0	1	0	1
EMPIREDB-2	0	1	3	3	1.0	2	0	1
EMPIREDB-21	0	1	5	1	3.0	1	0	1
EMPIREDB-25	11	1	4	4	3.0	1	0	1
EMPIREDB-34	37	1	3	4	4.0	1	0	1
EMPIREDB-40	0	1	3	1	4.0	1	0	1
EMPIREDB-87	0	1	4	4	3.0	1	0	1
ESME-22	0	1	3	1	1.0	0	0	0
ESME-44	2	1	3	2	2.0	0	0	0
ETCH-26	1056	1	3	1	1.0	1	0	3
ETCH-28	4	1	3	1	1.0	1	0	1
EXEC-34	1058	1	4	1	1.0	1	1	0
EXEC-50	1476	1	5	4	1.0	1	0	1
EXTVAL-145	0	1	3	4	1.0	2	0	2
EXTVAL-146	0	1	3	4	1.0	2	0	2
FALCON-1	72	1	2	4	2.0	1	3	1
FALCON-10	1	1	3	4	1.0	1	0	1
FALCON-11	353	1	3	4	1.0	1	4	2
FALCON-2	0	1	2	4	2.0	0	1	0
FALCON-204	0	1	1	5	3.0	1	1	1
FALCON-226	17	1	3	1	1.0	1	0	1
FALCON-236	3	1	4	1	2.0	1	0	1
FALCON-3	0	1	2	4	2.0	0	1	0
FALCON-332	21	1	2	1	3.0	1	0	1
FALCON-344	1	1	4	1	3.0	1	1	1
FALCON-724	3	1	3	1	4.0	1	0	1
FALCON-849	2	1	3	1	1.0	1	0	1
FALCON-850	2	1	3	1	1.0	1	0	1
FALCON-858	0	1	3	1	3.0	1	0	1
FALCON-859	0	1	3	1	3.0	1	0	1
FALCON-862	2	1	3	1	4.0	1	0	1
FALCON-874	0	1	3	1	4.0	1	0	1
FALCON-875	0	1	3	1	4.0	1	0	1
FC-11	28	1	3	1	3.0	1	0	0
FC-12	28	1	3	1	3.0	1	0	0
FC-6	28	1	3	1	3.0	1	0	0
FC-7	28	1	3	4	3.0	1	0	1
FC-8	54	1	3	1	3.0	1	0	0
FC-9	28	1	3	1	3.0	1	0	0
FEDIZ-19	935	1	3	2	1.0	1	1	0
FEDIZ-23	965	1	3	4	1.0	1	0	1
FEDIZ-27	882	1	3	2	1.0	1	1	0
FELIX-1131	1524	1	3	1	1.0	1	0	1
FELIX-1307	1386	1	5	4	1.0	1	0	0
FELIX-138	0	1	2	3	1.0	1	0	0
FELIX-1430	1415	1	3	4	1.0	1	2	0
FELIX-2436	1378	1	3	4	1.0	1	0	1
FELIX-2702	1216	1	4	4	1.0	1	0	1
FELIX-2706	1426	1	3	5	1.0	1	0	0
FELIX-2875	1326	1	3	4	1.0	1	1	0
FELIX-3006	1347	1	3	4	1.0	1	0	0
FELIX-3097	1281	1	3	1	1.0	1	0	1
FELIX-3577	3	1	3	4	4.0	1	3	1
FELIX-3578	0	1	3	3	1.0	1	1	1
FELIX-3582	338	1	4	1	1.0	1	0	1
FELIX-3585	273	1	2	1	1.0	1	0	1
FELIX-3633	930	1	3	1	1.0	1	0	1
FELIX-3695	889	1	4	1	1.0	1	0	1
FELIX-3817	675	1	3	1	2.0	1	1	1
FELIX-3836	707	1	3	1	1.0	1	0	0
FELIX-3848	686	1	3	4	3.0	1	1	1
FELIX-3849	731	1	3	4	3.0	1	1	1
FELIX-3857	707	1	3	4	3.0	1	1	1
FELIX-3883	707	1	3	1	1.0	1	2	1
FELIX-3914	615	1	3	4	1.0	1	1	0
FELIX-4007	637	1	3	4	1.0	1	0	1
FELIX-4025	1	1	3	4	3.0	1	0	0
FELIX-4026	0	1	3	1	3.0	1	0	0
FELIX-403	0	1	3	1	1.0	0	0	1
FELIX-442	16	1	3	4	2.0	0	1	1
FELIX-449	0	1	3	4	3.0	0	1	1
FELIX-451	0	1	5	4	3.0	0	0	1
FELIX-455	0	1	3	1	4.0	0	0	1
FELIX-531	15	1	4	2	1.0	1	0	1
FELIX-57	2505	1	4	3	1.0	1	0	0
FILEUPLOAD-143	2045	1	3	1	1.0	1	0	1
FILEUPLOAD-173	1395	1	4	1	1.0	1	0	1
FLEX-12202	2065	1	3	1	1.0	1	0	1
FLEX-12628	2003	1	3	4	1.0	1	0	1
FLEX-13423	2012	1	4	1	1.0	1	0	1
FLEX-14596	1857	1	4	4	1.0	1	0	1
FLEX-16235	1640	1	3	1	1.0	1	0	1
FLEX-16857	1618	1	3	1	2.0	1	0	1
FLEX-16909	1585	1	3	4	2.0	1	0	1
FLEX-17931	1511	1	4	1	2.0	1	0	1
FLEX-18697	1499	1	3	1	3.0	1	0	1
FLEX-19702	962	1	3	1	3.0	1	0	1
FLEX-19842	1462	1	4	1	3.0	1	0	1
FLEX-20566	1355	1	4	4	3.0	1	0	1
FLEX-23915	1508	1	5	1	3.0	1	0	1
FLEX-26478	1429	1	3	1	3.0	1	0	2
FLEX-26768	1115	1	3	5	3.0	1	1	1
FLEX-28291	1116	1	3	1	3.0	1	4	1
FLEX-32541	1876	1	4	1	3.0	1	0	2
FLEX-32571	1371	1	4	1	3.0	1	0	1
FLEX-33089	87	1	3	3	2.0	1	1	0
FLEX-33094	187	1	3	5	1.0	1	3	0
FLEX-33095	203	1	3	5	1.0	1	1	0
FLEX-33096	187	1	3	5	1.0	1	2	0
FLEX-33097	187	1	3	5	1.0	1	0	0
FLEX-33100	187	1	3	5	1.0	1	0	0
FLEX-33135	2	1	3	1	1.0	1	0	1
FLEX-33336	7	1	3	1	1.0	1	0	1
FLEX-33343	247	1	4	4	1.0	0	0	0
FLEX-33344	15	1	4	4	1.0	1	0	1
FLEX-33497	28	1	3	4	1.0	1	0	1
FLEX-33499	7	1	1	1	1.0	1	0	1
FLEX-33502	20	1	2	1	1.0	1	0	0
FLEX-33504	0	1	3	1	1.0	1	0	1
FLEX-33505	41	1	3	1	1.0	1	0	3
FLEX-34020	38	1	3	1	1.0	1	0	2
FLEX-34032	32	1	2	1	1.0	1	0	3
FLEX-34034	217	1	3	1	1.0	1	0	1
FLEX-34053	0	1	4	4	1.0	1	0	1
FLEX-369	2964	1	4	1	1.0	1	0	1
FLINK-1297	281	1	3	4	1.0	1	1	0
FLINK-2537	42	1	4	4	1.0	1	0	1
FLUME-1285	371	1	2	1	1.0	1	2	1
FLUME-1337	107	1	4	4	1.0	1	0	0
FLUME-1338	0	1	4	4	2.0	1	0	0
FLUME-1341	0	1	3	1	4.0	1	0	0
FLUME-1343	0	1	3	4	3.0	1	0	0
FLUME-1344	0	1	3	1	1.0	1	0	0
FLUME-1345	1	1	3	4	2.0	1	0	0
FLUME-1346	0	1	4	1	2.0	1	0	0
FLUME-1347	1	1	3	1	4.0	1	1	1
FLUME-1348	0	1	3	1	4.0	1	0	0
FLUME-1349	0	1	3	1	4.0	1	0	1
FLUME-1351	0	1	4	4	3.0	1	0	0
FLUME-1352	0	1	3	1	4.0	1	0	1
FLUME-1353	0	1	4	3	3.0	1	0	0
FLUME-1354	21	1	3	1	4.0	1	1	0
FLUME-1355	0	1	3	1	4.0	1	0	1
FLUME-1356	0	1	3	1	4.0	1	0	1
FLUME-1358	13	1	3	4	1.0	1	0	0
FLUME-1359	0	1	4	3	3.0	1	0	0
FLUME-1360	8	1	4	4	3.0	1	0	0
FLUME-1361	0	1	3	4	1.0	1	0	0
FLUME-1621	260	1	3	5	4.0	1	0	1
FLUME-1837	844	1	4	1	1.0	1	0	1
FLUME-1940	45	1	4	4	3.0	1	1	1
FLUME-1957	27	1	3	4	4.0	0	1	1
FLUME-1994	16	1	4	4	1.0	1	1	1
FLUME-1995	40	1	3	2	1.0	0	0	1
FLUME-1996	40	1	3	5	1.0	0	0	0
FLUME-1997	40	1	3	5	1.0	0	0	0
FLUME-2002	15	1	3	1	1.0	1	1	2
FLUME-2004	2	1	4	2	1.0	1	0	1
FLUME-2005	67	1	4	4	3.0	1	0	0
FLUME-2007	88	1	3	1	3.0	1	1	1
FLUME-2008	40	1	3	4	3.0	1	0	1
FLUME-2009	18	1	3	4	1.0	1	0	1
FLUME-2010	60	1	3	2	4.0	1	2	0
FLUME-2011	6	1	3	1	1.0	1	0	0
FLUME-2012	6	1	3	1	1.0	1	0	0
FLUME-2030	9	1	4	5	4.0	1	0	1
FLUME-2575	198	1	4	5	1.0	1	0	0
FLUME-395	15	1	2	1	2.0	1	1	0
FLUME-967	989	1	3	3	1.0	1	2	1
GEODE-134	12	1	3	1	1.0	1	0	1
GEODE-15	189	1	3	3	1.0	1	0	1
GEODE-154	13	1	3	1	1.0	1	0	1
GEODE-21	18	1	3	3	1.0	1	0	0
GEODE-322	0	1	3	1	2.0	1	0	0
GEODE-39	0	1	3	3	1.0	1	0	0
GEODE-40	0	1	3	3	1.0	1	0	0
GEODE-50	53	1	3	3	1.0	1	0	0
GEODE-6	63	1	3	5	1.0	1	0	0
GEODE-87	0	1	3	1	1.0	1	0	0
GEODE-88	0	1	3	1	1.0	1	0	0
GERONIMO-1255	0	1	3	5	1.0	1	0	1
GERONIMO-1278	143	1	3	4	2.0	1	0	1
GERONIMO-2219	12	1	2	5	1.0	1	1	1
GERONIMO-2264	7	1	3	3	3.0	1	0	1
GERONIMO-2642	28	1	3	1	1.0	1	0	1
GERONIMO-2643	87	1	3	1	1.0	1	1	1
GERONIMO-2946	312	1	3	2	4.0	0	0	1
GERONIMO-3207	54	1	3	3	4.0	1	0	1
GERONIMO-3526	0	1	3	4	1.0	0	0	0
GERONIMO-3527	51	1	3	4	1.0	1	0	0
GERONIMO-4784	1040	1	3	1	3.0	2	0	2
GERONIMO-5593	312	1	3	3	1.0	0	0	1
GERONIMO-6283	2	1	3	1	1.0	1	1	1
GERONIMO-6370	215	1	3	1	1.0	1	1	1
GERONIMODEVTOOLS-797	9	1	3	1	1.0	1	0	1
GERONIMODEVTOOLS-799	1	1	3	1	1.0	1	0	1
GIRAPH-219	2	1	4	1	1.0	1	0	0
GORA-132	6	1	3	4	1.0	1	4	1
GORA-138	14	1	3	2	1.0	1	4	1
GORA-142	40	1	3	4	1.0	1	4	1
GORA-144	813	1	4	3	1.0	1	2	1
GORA-283	7	1	4	3	2.0	1	0	1
GORA-284	96	1	2	1	2.0	1	0	0
GORA-285	0	1	3	4	2.0	1	0	0
GORA-38	1126	1	3	4	1.0	1	0	1
GORA-60	1056	1	3	5	1.0	1	0	1
GORA-73	971	1	3	4	1.0	1	2	1
GORA-74	63	1	3	4	1.0	1	0	1
GORA-75	323	1	3	4	2.0	1	0	1
GORA-76	84	1	3	4	1.0	1	0	1
GORA-77	126	1	4	4	1.0	1	1	1
GORA-79	10	1	3	5	1.0	1	0	1
GORA-80	28	1	3	5	1.0	1	0	1
GORA-81	137	1	3	5	1.0	1	3	0
GORA-82	38	1	3	4	2.0	1	0	1
GROOVY-1642	2642	1	3	2	1.0	1	2	1
GROOVY-1670	0	1	1	1	1.0	1	0	1
GROOVY-1691	8	1	3	4	1.0	0	0	0
GROOVY-1704	2012	1	3	4	1.0	1	0	1
GROOVY-1705	2012	1	3	4	1.0	1	0	1
GROOVY-2049	2594	1	3	5	1.0	1	1	1
GROOVY-2115	2400	1	3	2	1.0	1	0	0
GROOVY-2161	2485	1	3	4	1.0	1	0	3
GROOVY-2183	2093	1	4	4	2.0	1	0	0
GROOVY-2247	1722	1	3	4	1.0	1	0	0
GROOVY-2500	2439	1	3	5	1.0	1	3	1
GROOVY-2900	2189	1	3	4	1.0	1	0	1
GROOVY-2974	1841	1	4	1	1.0	1	0	2
GROOVY-3048	1962	1	3	4	1.0	1	0	1
GROOVY-3055	1593	1	4	3	1.0	3	1	0
GROOVY-3105	1570	1	4	5	1.0	3	0	1
GROOVY-3136	1274	1	3	1	1.0	1	1	1
GROOVY-3137	1274	1	3	4	1.0	1	1	1
GROOVY-3153	1494	1	3	1	1.0	2	0	0
GROOVY-3258	1455	1	3	1	1.0	1	1	1
GROOVY-3298	2016	1	3	4	1.0	1	0	1
GROOVY-3302	1704	1	3	1	1.0	1	0	2
GROOVY-3307	1105	1	3	2	1.0	2	0	0
GROOVY-3325	1094	1	3	1	1.0	1	0	1
GROOVY-3326	1446	1	3	1	1.0	2	0	1
GROOVY-3328	1806	1	3	4	1.0	1	1	0
GROOVY-3332	1463	1	3	4	1.0	1	1	1
GROOVY-3388	1087	1	4	1	1.0	2	0	1
GROOVY-3394	1397	1	3	5	1.0	2	0	0
GROOVY-3419	1398	1	4	1	1.0	3	0	1
GROOVY-3457	2037	1	3	1	1.0	1	0	2
GROOVY-3467	1156	1	3	1	1.0	1	0	1
GROOVY-3504	1846	1	3	2	1.0	1	2	0
GROOVY-3519	2131	1	3	1	2.0	1	0	1
GROOVY-3680	1766	1	3	1	1.0	1	0	2
GROOVY-3689	1233	1	4	2	1.0	1	0	2
GROOVY-3695	1446	1	4	4	1.0	1	0	1
GROOVY-3937	1602	1	4	1	1.0	1	0	2
GROOVY-3971	1617	1	3	1	1.0	1	0	1
GROOVY-4102	1699	1	3	1	1.0	1	2	1
GROOVY-4136	1806	1	5	4	1.0	1	1	1
GROOVY-4248	1459	1	3	1	1.0	2	0	1
GROOVY-4359	1541	1	3	1	1.0	1	0	1
GROOVY-4464	1245	1	4	4	1.0	1	1	1
GROOVY-4852	1325	1	4	1	1.0	2	0	2
GROOVY-4896	1105	1	3	1	1.0	1	0	3
GROOVY-4918	1290	1	3	1	1.0	1	0	1
GROOVY-5121	1215	1	3	5	1.0	1	0	2
GROOVY-5200	1106	1	3	1	1.0	1	0	1
GROOVY-5351	952	1	3	5	1.0	1	0	2
GROOVY-5524	927	1	3	1	1.0	1	0	1
GROOVY-5564	9	1	3	1	1.0	1	0	1
GROOVY-5565	8	1	3	1	2.0	1	0	0
GROOVY-5566	8	1	3	1	2.0	1	0	0
GROOVY-5567	3	1	3	1	1.0	1	0	1
GROOVY-5568	3	1	3	1	1.0	1	0	1
GROOVY-5569	10	1	3	1	1.0	1	0	1
GROOVY-5570	7	1	3	1	1.0	1	0	1
GROOVY-5571	23	1	3	1	1.0	1	0	3
GROOVY-5572	7	1	2	1	1.0	1	0	1
GROOVY-5573	2	1	3	1	1.0	1	1	1
GROOVY-5574	1	1	3	1	1.0	1	1	1
GROOVY-5577	0	1	3	4	1.0	1	0	1
GROOVY-5578	3	1	3	1	1.0	1	0	1
GROOVY-5579	10	1	3	1	2.0	1	0	1
GROOVY-5580	2	1	3	1	1.0	1	0	1
GROOVY-5581	0	1	3	1	1.0	1	0	1
GROOVY-5582	722	1	3	1	2.0	1	0	2
GROOVY-5750	766	1	3	1	1.0	1	0	1
GROOVY-5754	756	1	3	5	1.0	1	0	2
GROOVY-5765	798	1	3	1	1.0	1	0	1
GROOVY-5914	710	1	3	1	1.0	1	0	1
GROOVY-6019	691	1	3	1	1.0	2	0	2
GROOVY-6104	0	1	2	1	1.0	1	0	1
GROOVY-6106	15	1	4	1	1.0	1	0	1
GROOVY-6108	0	1	1	1	2.0	1	0	0
GROOVY-6109	0	1	3	1	2.0	1	0	0
GROOVY-6112	5	1	3	4	1.0	2	1	0
GROOVY-6113	10	1	3	1	1.0	1	0	1
GROOVY-6114	5	1	3	1	1.0	1	0	1
GROOVY-707	147	1	4	1	1.0	1	0	3
GUMP-73	33	1	2	3	1.0	0	0	0
HADOOP-10011	2061	1	4	1	2.0	1	1	2
HADOOP-11297	0	1	3	1	1.0	0	0	0
HADOOP-11303	0	1	5	1	1.0	0	2	1
HADOOP-11343	3	1	1	1	1.0	2	0	1
HADOOP-11423	1449	1	3	2	1.0	0	0	0
HADOOP-11441	38	1	4	4	1.0	1	0	0
HADOOP-11442	42	1	3	4	1.0	1	0	0
HADOOP-11517	0	1	4	5	1.0	0	0	0
