issuekey	days	death	priority	issuetype	reporterrep	no_fixversion	no_issuelink	no_affectversion
AMBARI-10508	14	1	2	3	4.0	1	0	1
AMBARI-10569	0	1	3	3	4.0	1	0	1
AMBARI-10637	2	1	1	3	4.0	1	0	1
AMBARI-10747	6	1	2	3	4.0	1	0	1
AMBARI-10781	2	1	3	3	4.0	1	0	1
AMBARI-10819	1	1	3	1	4.0	1	0	1
AMBARI-10901	1	1	3	3	4.0	1	0	1
AMBARI-10902	1	1	3	3	4.0	1	0	1
AMBARI-10946	0	1	1	3	4.0	1	0	1
AMBARI-11043	0	1	1	1	4.0	1	0	1
AMBARI-11175	0	1	1	3	4.0	1	0	1
AMBARI-11206	0	1	1	3	4.0	1	0	1
AMBARI-11346	0	1	1	3	4.0	1	0	1
AMBARI-11348	4	1	1	3	4.0	1	0	1
AMBARI-11403	0	1	3	1	4.0	1	0	1
AMBARI-11513	0	1	2	3	4.0	1	0	1
AMBARI-11514	0	1	2	3	4.0	1	0	1
AMBARI-11521	0	1	3	3	4.0	1	0	1
AMBARI-11543	0	1	1	1	4.0	1	0	1
AMBARI-11549	87	1	4	1	1.0	1	0	1
AMBARI-11554	82	1	4	1	1.0	1	0	1
AMBARI-11597	1	1	3	1	4.0	1	0	1
AMBARI-11633	0	1	2	1	4.0	1	0	1
AMBARI-11635	9	1	3	1	4.0	1	0	1
AMBARI-11663	0	1	2	1	4.0	1	0	1
AMBARI-11666	0	1	2	1	4.0	1	0	1
AMBARI-11673	0	1	3	1	4.0	1	0	1
AMBARI-11732	3	1	3	1	3.0	1	0	1
AMBARI-11797	0	1	2	1	3.0	1	0	1
AMBARI-11817	0	1	2	1	4.0	1	0	1
AMBARI-11890	3	1	2	1	4.0	1	0	1
AMBARI-11909	1	1	3	1	4.0	1	0	1
AMBARI-11911	0	1	2	1	4.0	1	0	1
AMBARI-11966	0	1	3	1	4.0	1	0	1
AMBARI-11989	0	1	2	1	4.0	1	0	1
AMBARI-12007	0	1	2	1	4.0	1	0	1
AMBARI-12025	0	1	3	3	4.0	1	0	1
AMBARI-12027	31	1	2	3	4.0	1	0	1
AMBARI-12038	31	1	2	3	4.0	1	0	1
AMBARI-12171	25	1	2	3	4.0	1	0	1
AMBARI-12177	24	1	2	3	4.0	1	0	1
AMBARI-12214	0	1	2	1	4.0	1	0	1
AMBARI-12332	0	1	2	1	4.0	1	1	1
AMBARI-12539	2	1	2	1	4.0	1	0	1
AMBARI-1256	10	1	2	1	1.0	1	0	1
AMBARI-13068	0	1	3	1	4.0	1	0	1
AMBARI-13104	60	1	2	1	1.0	1	1	1
AMBARI-13110	6	1	2	1	1.0	1	0	1
AMBARI-13194	0	1	3	1	2.0	2	0	1
AMBARI-13200	54	1	3	1	2.0	1	0	1
AMBARI-13204	0	1	2	1	2.0	1	0	1
AMBARI-13217	0	1	2	1	2.0	1	1	1
AMBARI-13279	34	1	2	1	3.0	1	0	1
AMBARI-13281	12	1	3	1	3.0	1	0	1
AMBARI-13556	3	1	2	1	1.0	2	0	2
AMBARI-13575	2	1	2	1	3.0	1	0	2
AMBARI-13596	1	1	3	5	2.0	2	0	2
AMBARI-13606	7	1	1	2	4.0	1	0	1
AMBARI-13651	0	1	3	1	4.0	1	0	2
AMBARI-13766	0	1	3	1	4.0	1	0	1
AMBARI-13772	0	1	3	1	4.0	1	0	1
AMBARI-13775	0	1	3	1	4.0	1	0	1
AMBARI-13788	7	1	3	1	4.0	1	0	1
AMBARI-13879	9	1	3	1	4.0	1	0	1
AMBARI-13927	1	1	1	1	3.0	2	0	1
AMBARI-13938	11	1	3	1	4.0	1	0	1
AMBARI-13986	3	1	3	1	4.0	1	0	1
AMBARI-13988	10	1	3	1	4.0	1	0	1
AMBARI-14010	6	1	3	1	4.0	1	0	1
AMBARI-14047	1	1	3	1	4.0	1	0	0
AMBARI-14048	0	1	3	1	4.0	1	0	0
AMBARI-14060	4	1	3	1	4.0	1	0	0
AMBARI-14117	0	1	1	1	4.0	1	0	1
AMBARI-14202	8	1	1	1	3.0	2	0	2
AMBARI-14249	0	1	2	1	1.0	1	0	0
AMBARI-14251	1	1	2	1	1.0	1	0	1
AMBARI-14292	0	1	3	1	2.0	1	0	1
AMBARI-14314	0	1	3	1	1.0	1	0	1
AMBARI-14322	0	1	2	1	2.0	1	0	1
AMBARI-14335	0	1	1	1	1.0	1	0	1
AMBARI-14360	1	1	2	1	3.0	1	0	1
AMBARI-14393	0	1	2	1	4.0	1	0	1
AMBARI-14409	5	1	2	1	3.0	1	0	1
AMBARI-14440	0	1	3	1	4.0	1	0	1
AMBARI-14478	15	1	4	1	4.0	1	0	1
AMBARI-14566	0	1	1	1	4.0	1	0	1
AMBARI-14613	0	1	3	2	1.0	2	0	0
AMBARI-14615	0	1	2	1	3.0	1	0	1
AMBARI-14622	0	1	4	2	2.0	0	0	0
AMBARI-14664	0	1	2	1	4.0	1	0	1
AMBARI-14665	4	1	3	1	4.0	1	0	1
AMBARI-14679	1	1	2	1	4.0	1	0	1
AMBARI-14723	1	1	1	1	4.0	1	0	1
AMBARI-14901	1	1	3	1	4.0	1	0	1
AMBARI-14964	2	1	1	1	1.0	1	0	1
AMBARI-14985	0	1	3	2	1.0	1	0	1
AMBARI-14999	5	1	3	2	2.0	1	0	1
AMBARI-15002	1	1	3	3	4.0	1	0	1
AMBARI-15021	0	1	3	1	3.0	1	0	1
AMBARI-15046	10	1	3	1	4.0	1	0	1
AMBARI-15065	2	1	3	3	4.0	1	0	1
AMBARI-15179	4	1	3	1	4.0	1	0	1
AMBARI-15184	4	1	2	1	4.0	1	0	1
AMBARI-15255	0	1	2	1	3.0	1	0	1
AMBARI-15257	3	1	3	1	3.0	1	0	1
AMBARI-15271	0	1	2	1	4.0	1	0	1
AMBARI-15272	0	1	3	4	4.0	1	0	1
AMBARI-15278	0	1	2	4	4.0	1	0	1
AMBARI-15304	0	1	3	1	4.0	1	0	1
AMBARI-15305	2	1	3	3	4.0	1	0	1
AMBARI-15321	2	1	3	3	4.0	1	0	1
AMBARI-15326	1	1	3	4	4.0	1	0	1
AMBARI-15343	0	1	2	3	4.0	1	0	1
AMBARI-1572	5	1	3	4	1.0	1	1	1
AMBARI-210	1	1	3	1	2.0	1	0	1
AMBARI-216	0	1	3	1	2.0	1	0	1
AMBARI-232	3	1	3	1	3.0	1	0	1
AMBARI-249	3	1	3	1	4.0	1	0	1
AMBARI-250	2	1	3	1	4.0	1	0	1
AMBARI-277	1	1	3	1	4.0	1	0	1
AMBARI-280	1	1	3	1	4.0	1	0	1
AMBARI-281	21	1	3	1	4.0	1	0	1
AMBARI-282	1	1	3	1	4.0	1	0	1
AMBARI-283	1	1	3	1	4.0	1	0	1
AMBARI-287	21	1	3	1	4.0	1	0	1
AMBARI-301	20	1	3	1	4.0	1	0	1
AMBARI-303	20	1	3	1	4.0	1	0	1
AMBARI-323	14	1	3	1	4.0	1	0	1
AMBARI-338	17	1	3	1	4.0	1	0	1
AMBARI-339	17	1	3	1	4.0	1	0	1
AMBARI-349	16	1	3	1	4.0	1	0	1
AMBARI-355	17	1	3	1	4.0	1	0	1
AMBARI-362	16	1	3	1	4.0	1	0	1
AMBARI-370	15	1	3	1	4.0	1	0	1
AMBARI-3800	0	1	3	1	2.0	1	0	1
AMBARI-3821	27	1	3	1	1.0	1	0	1
AMBARI-3826	0	1	3	4	1.0	1	0	1
AMBARI-3827	0	1	3	3	1.0	1	0	1
AMBARI-3828	1	1	3	1	1.0	1	0	1
AMBARI-394	14	1	3	1	4.0	1	0	1
AMBARI-396	14	1	3	1	4.0	1	0	1
AMBARI-402	13	1	3	1	4.0	1	0	1
AMBARI-409	12	1	3	1	4.0	1	0	1
AMBARI-410	12	1	3	1	4.0	1	0	1
AMBARI-417	12	1	3	1	4.0	1	0	1
AMBARI-433	12	1	3	1	4.0	1	0	1
AMBARI-435	12	1	3	1	4.0	1	0	1
AMBARI-451	7	1	3	1	4.0	1	0	1
AMBARI-452	7	1	3	1	4.0	1	0	1
AMBARI-459	7	1	3	1	4.0	1	0	1
AMBARI-466	6	1	3	1	4.0	1	0	1
AMBARI-478	6	1	3	1	4.0	1	0	1
AMBARI-479	6	1	3	1	4.0	1	0	1
AMBARI-484	5	1	3	1	4.0	1	0	1
AMBARI-487	5	1	3	1	4.0	1	0	1
AMBARI-5149	0	1	2	3	1.0	1	0	1
AMBARI-5150	1	1	2	1	1.0	1	0	1
AMBARI-518	0	1	3	1	4.0	1	0	1
AMBARI-519	0	1	3	1	4.0	1	0	1
AMBARI-523	1	1	3	1	4.0	1	0	1
AMBARI-524	1	1	3	1	4.0	1	0	1
AMBARI-525	1	1	3	1	4.0	1	0	1
AMBARI-526	0	1	3	1	4.0	1	0	1
AMBARI-532	0	1	3	1	4.0	1	0	1
AMBARI-537	0	1	3	1	4.0	1	0	1
AMBARI-540	0	1	3	1	4.0	1	0	1
AMBARI-543	0	1	3	1	4.0	1	0	1
AMBARI-554	3	1	3	1	4.0	1	0	1
AMBARI-5652	0	1	2	1	3.0	1	0	1
AMBARI-5717	0	1	1	1	3.0	1	0	1
AMBARI-5727	2	1	1	1	4.0	1	0	1
AMBARI-5752	0	1	2	1	4.0	1	0	1
AMBARI-587	3	1	3	1	4.0	1	0	1
AMBARI-5885	2	1	3	1	1.0	1	0	1
AMBARI-5907	1	1	2	1	4.0	1	0	1
AMBARI-5948	0	1	1	1	4.0	1	1	1
AMBARI-600	0	1	1	1	1.0	1	1	1
AMBARI-6086	5	1	3	2	1.0	1	2	1
AMBARI-6146	0	1	1	1	4.0	1	0	1
AMBARI-617	0	1	1	1	4.0	1	0	1
AMBARI-6194	0	1	3	1	4.0	1	0	1
AMBARI-6198	0	1	3	3	4.0	1	0	1
AMBARI-6200	0	1	2	1	4.0	1	0	1
AMBARI-6213	0	1	2	1	4.0	1	0	1
AMBARI-6228	0	1	2	1	4.0	1	0	1
AMBARI-6232	0	1	3	3	4.0	1	0	1
AMBARI-6244	0	1	2	1	4.0	1	0	1
AMBARI-6248	0	1	2	3	4.0	0	0	0
AMBARI-6264	0	1	2	1	4.0	1	0	1
AMBARI-6265	0	1	2	1	4.0	1	0	1
AMBARI-6279	0	1	2	1	4.0	1	0	1
AMBARI-6301	0	1	2	1	4.0	1	0	1
AMBARI-6310	0	1	2	1	4.0	1	0	1
AMBARI-6326	0	1	2	1	4.0	1	0	1
AMBARI-6338	0	1	2	1	4.0	1	0	1
AMBARI-6345	0	1	3	3	4.0	1	0	1
AMBARI-6348	0	1	2	3	4.0	1	0	1
AMBARI-6366	5	1	3	1	4.0	1	0	1
AMBARI-6367	0	1	2	1	4.0	1	0	1
AMBARI-6369	0	1	3	1	4.0	1	0	1
AMBARI-6750	0	1	3	4	4.0	1	0	1
AMBARI-6751	0	1	3	4	4.0	1	0	1
AMBARI-6798	0	1	3	3	4.0	1	0	1
AMBARI-6966	0	1	2	3	4.0	1	0	1
AMBARI-7020	0	1	1	1	1.0	1	0	1
AMBARI-7065	0	1	2	1	4.0	1	1	1
AMBARI-7090	0	1	2	3	4.0	1	1	1
AMBARI-7091	0	1	3	3	4.0	1	0	1
AMBARI-7939	5	1	3	3	1.0	1	0	1
AMBARI-7957	6	1	2	3	2.0	1	4	1
AMBARI-7988	0	1	3	1	1.0	1	0	1
AMBARI-8024	1	1	3	3	3.0	1	1	1
AMBARI-8025	1	1	3	3	3.0	1	1	1
AMBARI-8026	1	1	3	3	3.0	1	1	1
AMBARI-8032	0	1	3	3	3.0	1	1	1
AMBARI-8060	6	1	3	3	4.0	1	0	1
AMBARI-8086	0	1	2	1	4.0	1	0	1
AMBARI-812	2	1	3	5	1.0	1	0	1
AMBARI-8130	3	1	3	3	4.0	1	0	1
AMBARI-8137	62	1	3	3	4.0	1	0	1
AMBARI-8163	18	1	3	2	1.0	1	1	1
AMBARI-8192	27	1	3	3	4.0	1	0	1
AMBARI-8215	0	1	2	1	4.0	1	0	1
AMBARI-8217	0	1	3	1	2.0	1	0	1
AMBARI-8232	2	1	3	1	4.0	1	0	1
AMBARI-8247	32	1	3	2	1.0	1	1	1
AMBARI-8318	11	1	3	3	4.0	1	0	1
AMBARI-8624	1	1	1	1	4.0	1	0	1
AMBARI-8770	13	1	3	3	4.0	1	0	1
AMBARI-8812	42	1	3	3	4.0	1	0	1
AMBARI-8933	10	1	1	3	4.0	1	0	1
AMBARI-8963	0	1	1	1	4.0	1	0	1
AMBARI-9032	0	1	3	3	4.0	1	0	1
AMBARI-9038	0	1	3	3	4.0	1	0	1
AMBARI-9341	7	1	1	1	4.0	1	0	1
AMBARI-9342	0	1	3	1	4.0	1	0	1
AMBARI-9390	5	1	3	1	4.0	1	0	1
AMBARI-9505	34	1	3	3	4.0	1	0	1
AMBARI-9542	0	1	2	3	4.0	1	0	1
AMBARI-9605	0	1	1	1	2.0	1	0	1
AMBARI-9612	19	1	2	3	4.0	1	0	1
AMBARI-9637	2	1	1	3	2.0	1	0	1
AMBARI-9640	0	1	2	3	3.0	1	0	0
AMBARI-9642	0	1	1	1	3.0	1	0	1
AMBARI-9661	1	1	1	1	3.0	1	0	1
AMBARI-9666	3	1	1	1	3.0	1	0	1
AMBARI-9742	0	1	2	1	3.0	1	0	1
AMBARI-9850	0	1	1	1	4.0	1	0	1
AMBARI-9859	0	1	1	1	4.0	1	1	1
AMBARI-9870	0	1	1	1	4.0	1	0	1
AMBARI-9912	0	1	2	1	4.0	1	0	1
AMBARI-9913	0	1	2	1	4.0	1	0	1
AMBARI-9953	0	1	3	1	4.0	1	0	1
AMQ-1063	2576	1	3	1	1.0	2	0	1
AMQ-1469	1875	1	4	4	1.0	1	0	2
AMQ-1492	1886	1	4	4	1.0	1	0	1
AMQ-1529	1746	1	3	1	1.0	1	0	3
AMQ-1619	1668	1	3	1	1.0	1	0	0
AMQ-1638	2045	1	3	1	1.0	1	1	1
AMQ-1703	1652	1	4	4	1.0	1	0	1
AMQ-1719	1608	1	3	1	1.0	1	0	1
AMQ-1870	1646	1	3	1	1.0	1	0	0
AMQ-2085	1126	1	3	1	2.0	1	0	1
AMQ-2106	1326	1	3	2	1.0	1	0	1
AMQ-2293	1318	1	4	1	1.0	1	1	1
AMQ-2327	1512	1	3	1	1.0	1	1	1
AMQ-2354	1690	1	4	4	1.0	1	0	1
AMQ-2388	1659	1	4	4	1.0	1	0	0
AMQ-2429	1628	1	3	4	1.0	1	0	1
AMQ-2775	1386	1	4	4	1.0	1	0	1
AMQ-3082	1203	1	3	1	1.0	1	0	1
AMQ-3486	964	1	4	4	3.0	1	1	1
AMQ-3908	0	1	4	1	1.0	1	0	0
AMQ-3909	0	1	3	1	3.0	1	0	1
AMQ-3912	0	1	4	1	1.0	1	1	1
AMQ-3913	0	1	4	4	4.0	1	0	1
AMQ-3914	214	1	4	4	1.0	1	0	1
AMQ-3915	0	1	3	1	1.0	1	0	1
AMQ-3917	17	1	4	2	1.0	1	0	2
AMQ-3918	0	1	3	4	2.0	1	0	1
AMQ-3919	71	1	4	1	1.0	1	0	1
AMQ-3920	0	1	2	1	1.0	1	0	1
AMQ-4107	819	1	3	1	1.0	1	0	1
AMQ-4472	9	1	3	1	1.0	1	1	1
AMQ-4473	0	1	5	4	1.0	1	0	1
AMQ-4474	0	1	3	1	1.0	1	0	1
AMQ-4475	0	1	3	1	4.0	1	0	1
AMQ-464	0	1	3	1	1.0	1	0	0
AMQ-4818	273	1	4	4	1.0	1	0	2
AMQCPP-204	1484	1	4	4	1.0	1	0	0
AMQNET-109	6	1	3	4	1.0	1	0	1
AMQNET-115	27	1	3	3	2.0	1	0	1
AMQNET-338	979	1	3	1	1.0	3	0	2
AMQNET-426	0	1	3	1	4.0	1	0	1
AMQNET-427	0	1	4	4	4.0	1	0	1
AMQNET-428	6	1	3	2	4.0	1	0	1
AMQNET-429	6	1	3	2	4.0	1	0	1
AMQNET-430	6	1	3	4	4.0	1	1	1
AMQNET-431	6	1	3	4	4.0	1	0	1
AMQNET-71	289	1	3	5	1.0	1	0	1
AMQNET-92	39	1	3	5	1.0	1	0	1
ANY23-110	200	1	4	5	2.0	1	0	1
ANY23-174	122	1	3	1	1.0	1	0	1
ANY23-21	11	1	1	3	2.0	1	1	1
ANY23-25	5	1	3	5	2.0	1	1	1
ANY23-26	381	1	3	4	2.0	1	0	1
ANY23-27	0	1	1	3	1.0	1	2	1
ANY23-28	72	1	3	4	2.0	1	1	1
ANY23-29	4	1	1	2	1.0	1	3	1
ANY23-31	0	1	3	5	1.0	1	0	1
ANY23-32	2	1	3	4	3.0	1	0	1
ANY23-33	78	1	3	4	1.0	1	0	1
ANY23-34	69	1	3	1	3.0	1	1	1
ANY23-36	70	1	4	3	3.0	1	1	1
ANY23-37	46	1	2	1	3.0	1	1	1
ANY23-39	24	1	3	3	2.0	1	0	1
ANY23-41	67	1	3	3	2.0	1	0	1
ANY23-42	18	1	2	1	2.0	1	0	1
ANY23-47	342	1	5	4	1.0	1	1	1
APEXCORE-155	94	1	3	4	3.0	1	0	0
APEXMALHAR-1036	0	1	3	5	4.0	1	0	0
APEXMALHAR-1339	12	1	3	3	1.0	1	0	0
APEXMALHAR-15	162	1	3	3	1.0	0	0	0
APEXMALHAR-1562	0	1	3	5	1.0	0	0	0
APEXMALHAR-1563	0	1	3	5	1.0	0	0	0
APEXMALHAR-1564	0	1	3	5	1.0	0	0	0
APEXMALHAR-1565	0	1	3	5	1.0	0	0	0
APEXMALHAR-1566	0	1	3	5	1.0	0	0	0
APEXMALHAR-1567	0	1	3	5	1.0	0	0	0
APEXMALHAR-1568	76	1	3	5	1.0	0	0	0
APEXMALHAR-1569	338	1	3	5	1.0	1	0	0
APEXMALHAR-1602	70	1	3	4	1.0	1	0	0
APEXMALHAR-1631	0	1	3	1	2.0	1	0	0
APEXMALHAR-1632	24	1	3	4	3.0	1	0	0
APEXMALHAR-1724	30	1	3	4	1.0	0	0	0
APEXMALHAR-1824	50	1	3	4	2.0	1	0	0
APEXMALHAR-1855	42	1	3	4	3.0	1	0	0
APEXMALHAR-1860	0	1	3	1	4.0	1	0	0
APEXMALHAR-652	10	1	3	3	1.0	1	0	0
APEXMALHAR-678	9	1	3	5	2.0	1	0	0
APEXMALHAR-718	1	1	3	5	3.0	1	0	0
APEXMALHAR-726	64	1	3	5	3.0	1	0	0
APEXMALHAR-836	6	1	2	1	1.0	1	0	0
APLO-220	82	1	3	1	1.0	1	0	1
APOLLO-39	42	1	4	3	1.0	0	0	0
ARCHETYPE-182	2432	1	3	4	1.0	1	0	1
ARCHETYPE-431	656	1	4	3	1.0	1	2	1
ARCHETYPE-432	79	1	2	3	1.0	1	0	1
ARIES-1023	708	1	3	1	1.0	1	1	1
ARIES-1297	1	1	3	4	2.0	0	0	2
ARIES-40	0	1	5	3	1.0	1	0	0
ARIES-445	134	1	3	1	1.0	1	0	0
ARIES-446	31	1	3	1	1.0	0	0	0
ARIES-453	29	1	3	1	3.0	0	0	0
ARIES-471	14	1	4	1	3.0	0	0	0
ARIES-472	0	1	4	1	4.0	0	0	0
ARIES-480	8	1	4	1	3.0	0	0	0
ARIES-565	98	1	4	1	1.0	0	0	2
ARIES-867	19	1	3	1	1.0	1	0	1
ASTERIXDB-1134	41	1	5	4	1.0	0	0	0
ATLAS-1	21	1	1	1	3.0	0	0	0
ATLAS-32	3	1	2	1	4.0	1	0	1
ATLAS-7	0	1	1	1	4.0	1	0	1
ATLAS-75	4	1	3	2	1.0	0	0	1
ATLAS-76	4	1	3	2	1.0	0	0	1
ATLAS-77	4	1	3	2	1.0	0	0	1
ATTIC-139	4	1	3	1	1.0	0	0	0
ATTIC-31	262	1	3	3	1.0	0	1	0
ATTIC-65	193	1	3	3	1.0	0	0	0
