index.orig	training	test	optimism	index.corrected	n
Dxy	0.69012884988871	0.680186587670336	0.683279188638449	-0.0030926009681127	0.693221450856822	1
R2	0.272219719231693	0.274089546971193	0.271137793814259	0.00295175315693358	0.26926796607476	1
Slope	1	1	0.981403554915494	0.0185964450845056	0.981403554915494	1
D	0.123124944091572	0.124675539541789	0.12256056130082	0.00211497824096896	0.121009965850603	1
U	-7.09394213840115e-06	-7.14101351812238e-06	3.16449754805163e-05	-3.87859889986387e-05	3.16920468602375e-05	1
Q	0.12313203803371	0.124682680555307	0.122528916325339	0.00215376422996759	0.120978273803743	1
g	2.11698285412654	2.28307169877743	2.2339737282275	0.049097970549933	2.06788488357661	1
