,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
7803,1,*2,1,1,  8,  0, 3, 1,0, 0,1,0.75000000, 1
8182,1,2,*6,1,  3,  0, 0, 1,0, 0,1,0.84745763,11
8380,2,2,1,1,  3,  0, 0, 0,*1, 0,*0,0.60000000, 5
8540,1,*2,1,1, 17,  2, 0, 1,0, 0,1,0.72151899,14
8682,1,*2,1,1,  6,  0, 1, 2,0, 0,2,0.68421053,31
8683,1,*2,1,1,  7,  0, 1, 2,0, 0,2,0.68421053,31
8684,1,*2,1,1,  7,  0, 1, 1,0, 0,3,0.68421053,31
8685,1,*2,1,1,  7,  0, 1, 1,0, 0,3,0.70129870,31
8686,4,*2,1,1,  8,  0, 1, 2,*0, 0,*4,*0.71428571,31
8736,1,3,*2,1,  4,  2, 1, 0,0, 0,2,0.46218487,12
8804,1,3,*2,1, 11,  5, 4, 1,0, 0,2,0.88401254,11
8839,1,*2,1,1,  7,  0, 1, 1,0, 0,1,0.75949367,27
8973,1,3,7,*0,  2,  1, 0, 0,0, 1,0,0.73308271,13
9030,1,*5,1,1,  3,  0, 0, 1,0, 1,1,0.50000000, 1
9075,1,3,*3,1, 11,  1, 0, 1,0, 0,1,0.85915493, 9
9210,1,*1,1,1,  6,  4, 2, 1,0, 1,1,0.82075472, 9
9222,2,3,1,1,  6,  1,* 6,* 1,0, 0,1,0.78723404,11
9264,2,2,1,1,  8,  0,* 6,* 2,1, 1,2,0.50000000, 1
9285,1,3,4,1,  5,  1, 1, 1,0, 0,0,*0.14285714, 9
9537,2,3,1,1, 19,  0, 0, 1,0, 0,1,*0.90909091,* 2
9564,1,*5,1,1,  3,  0, 1, 2,0, 0,1,0.82142857,16
9614,1,*5,4,1,  4,  1, 0, 1,0, 0,1,0.82022472,15
9617,1,3,1,1, 15,  0, 0, 1,0, 0,1,*0.90909091, 4
10248,1,3,7,*0,  0,  0, 0, 0,0, 0,0,0.76060606,18
10263,2,*2,1,1, 21,  0, 5,* 1,0, 1,1,0.33333333,13
10366,3,*5,*3,1,  1,  0, 5,* 0,0, 0,0,0.50000000, 1
10565,1,*5,1,1,  2,  0, 0, 1,0, 0,1,0.89090909, 7
10993,1,3,*2,1, 12,  2, 0, 1,0, 2,1,0.85185185,12
11396,1,*1,1,1,  6,  0, 1, 1,0, 0,0,0.75949367,29
11426,1,3,*3,1,  3,  0, 0, 1,0, 0,1,0.38709677,14
11731,3,3,1,1, 22,  0,*11,* 1,0, 0,*1,0.82857143, 7
11752,1,3,*3,1,  9,  0, 1, 1,0, 0,1,0.39393939,13
11769,1,3,1,1, 43,  2, 5,* 1,0, 2,1,0.84269663,18
12136,1,3,*3,1,  4,  0, 2, 1,0, 0,1,0.79752066,26
12140,1,3,*6,1,  5,  0, 1, 1,0, 0,1,0.88685015,11
12143,1,3,*2,1,  4,  0, 1, 1,0, 1,1,0.68464730,14
12146,1,3,*3,1,  5,  0, 0, 1,0, 0,1,0.79752066,25
12233,1,*1,1,1,  8,  0, 2, 2,1, 0,0,0.66666667,17
12264,1,*2,1,1,  2,  2, 2, 0,0, 0,0,0.72222222, 6
12509,1,3,*2,1, 12,  0, 3, 1,0, 0,1,0.87179487,37
12516,1,3,*6,1, 12,  1, 0, 2,0, 0,1,0.86206897, 4
12787,1,3,*2,1, 17, 10, 1, 1,0, 1,1,0.65842697,17
12788,1,3,1,1,  8,  0, 5,* 1,0, 1,1,0.75939850,16
12861,1,3,*7,1, 11,  0, 0, 1,0, 0,1,0.74561404,20
12968,1,3,*6,1,  3,  0, 1, 1,0, 0,1,0.88217523,13
13231,1,3,*3,1,  3,  0, 1, 1,0, 0,0,0.86754967,18
13233,1,3,*6,1,  4,  0, 1, 1,0, 1,1,0.88217523,13
13236,8,*3,*1,1, 10,*  0,* 0,* 2,0, 0,*2,*0.89285714,* 7
13237,7,3,*1,1, 13,*  0,* 0,* 2,0, 0,*2,*0.89285714,* 7
13238,1,3,1,1, 14,  0, 0, 2,0, 0,2,*0.91071429, 7
13280,1,3,*2,1, 54,  1, 0, 2,0, 0,2,0.40540541, 8
13281,3,3,*2,1,* 58,  1, 0, 2,0, 0,2,0.40540541,* 8
13285,2,3,*2,1,* 60,  1, 0, 1,0, 0,3,0.43243243, 8
13292,2,3,*2,1,* 61,  2, 0, 1,0, 0,3,0.48717949, 8
13293,2,3,*2,1,* 61,  2, 0, 1,0, 0,3,0.50000000, 8
13305,1,3,*3,1,  4,  0, 0, 0,0, 0,0,0.86842105,20
13306,10,*3,*1,1,*  6,*  0,* 0,* 3,0,* 0,*1,*0.73489933,*24
13307,8,*3,*1,1,  6,*  0,* 0,* 3,0, 0,*1,*0.73489933,*23
13309,1,3,1,1,  3,  0, 0,* 3,0, 0,0,0.73489933,24
13310,2,3,1,1,  5,  0, 0,* 3,0, 0,*0,0.73489933,23
13316,2,3,1,1,  4,  0, 0,* 3,0,* 1,2,0.33333333,16
13318,2,3,1,1,  6,  0, 0,* 3,0,* 1,2,0.33333333,15
13319,3,3,1,1,  7,  0, 0,* 3,0,* 1,2,*0.33333333,15
13320,2,3,1,1,  8,  0, 0,* 3,0,* 1,2,0.66666667,15
13322,1,3,*6,1,  4,  0, 1, 1,0, 0,1,0.88855422,11
13411,1,*5,1,1,  9,  0, 0, 2,0, 0,1,0.81081081, 8
13504,1,*2,4,1, 26,  1, 2, 1,0, 0,1,0.63157895, 7
13505,2,*2,1,1,  5,  0, 1, 2,0, 0,1,*0.25000000, 2
13506,4,*2,1,1,  5,  0,* 1,* 3,0, 0,2,*0.25000000, 2
13507,3,*2,1,1,  5,  0, 1,* 3,0, 0,2,0.50000000,* 2
13514,3,3,1,1, 22,  4, 3,* 0,1,* 3,*4,0.80000000, 2
13957,2,3,1,1, 10,  2,* 7,* 1,0, 0,1,0.60465116, 9
14171,1,3,*3,1,  7,  0, 0, 2,0, 0,1,0.88622754,12
14238,1,3,*3,1,  2,  0, 1, 1,0, 0,1,0.44736842,15
14276,1,*1,1,1,  1,  0, 1, 0,0, 0,0,0.88888889, 1
14297,1,3,*3,1,  7,  0, 1, 1,0, 0,1,0.42105263,15
14328,1,3,*6,1,  3,  0, 0, 0,0, 0,0,0.88690476,12
14343,1,*1,1,1,  7,  0, 1, 1,0, 1,1,0.76250000,31
14413,1,3,1,*0,  0,  1, 0, 0,0, 0,0,0.85897436,15
14642,1,3,*2,1, 25,  0, 0, 1,0, 0,1,0.77966102, 5
14962,1,3,1,*0,  6,  0, 0, 0,0, 1,0,0.87012987,13
14983,1,*2,1,1, 18,  1, 5, 2,0, 0,1,0.80000000, 1
15078,1,3,1,1, 12,  0, 5,* 1,0, 0,1,0.88757396,12
15298,1,3,*3,1,  4,  0, 1, 1,0, 0,1,0.40540541,17
15462,1,*5,4,1,  8,  0, 0, 2,0, 0,1,0.40000000, 6
15478,3,3,*4,1, 10,*  1, 0, 2,0, 0,2,*0.91228070, 7
15737,1,3,*3,1,  6,  0, 1, 1,0, 0,1,0.85987261, 1
16087,1,3,*3,1,  5,  0, 0, 0,0, 0,0,0.86516854, 9
16134,1,*5,4,1,  0,  1, 0, 0,0, 0,0,0.84375000, 9
16255,1,*2,1,1,  5,  0, 2, 1,0, 0,1,0.52631579, 9
16258,1,3,1,1,  4,  1, 0,* 3,0, 0,1,0.83673469,22
16632,1,*1,7,1,  4,  4, 0, 1,0, 0,2,0.75423729,20
16634,1,*2,1,1,  4,  0, 0, 0,0, 0,0,0.33333333, 2
16795,1,4,4,1,  6,  1, 1, 1,*1, 0,0,0.40000000, 1
16812,1,3,4,1, 49,  4, 0, 1,*2, 0,2,0.50000000, 1
16861,1,*1,1,1, 12,  0, 1, 1,1, 0,1,0.50000000,31
16905,1,*2,7,1,  7,  0, 0, 1,0, 0,0,0.76543210,15
17056,1,3,1,1,  0,  0, 1, 1,0, 0,*1,0.84328358, 7
17065,1,3,*4,1,  4,  0, 1, 1,0, 0,1,0.85625000,20
17161,2,3,*2,1,  5,  1, 0, 0,0, 0,0,*0.20000000, 8
17233,1,*2,7,1, 12,  0, 1, 1,0, 0,0,0.84864865,21
17282,1,3,*2,1, 23,  0, 0, 0,0, 0,0,0.60606061,10
17303,1,*1,1,1, 20,  0, 4, 3,1, 0,1,0.54166667,15
17334,1,3,*3,1,  1, 27, 0, 0,0, 0,0,0.72535211,11
17366,1,3,*2,1,  2,  1, 1, 1,0, 0,1,0.56250000,10
17496,1,3,*2,1,  8,  1, 0, 1,0, 0,0,0.62295082,16
17503,1,4,1,1, 13,  0, 3, 1,*1, 1,1,0.33333333, 5
17521,1,3,*3,1,  1,  0, 1, 1,0, 0,1,0.85889571,23
17607,1,3,*3,1,  3,  0, 1, 1,0, 0,1,0.85889571,20
17632,1,3,*3,1, 24,  2, 1, 1,0, 0,1,0.40540541,10
17986,1,3,*3,1, 10,  0, 1, 0,0, 0,0,0.85454545,20
17992,1,3,*3,1, 27,  1, 1, 1,0, 0,1,0.85454545,20
17993,1,3,*3,1,  2,  0, 1, 1,0, 0,1,0.85454545,22
17994,1,3,*3,1,  3,  0, 1, 1,0, 0,1,0.85454545,22
17996,1,*1,1,1, 10,  0, 1, 0,0, 0,0,0.40000000, 3
18028,1,3,*6,1,  8,  0, 3, 1,0, 0,1,0.74074074, 7
18061,3,*2,1,1,*  6,  0, 0, 0,0, 0,*0,0.72580645,32
18100,4,2,1,1,* 25,  5, 1,* 2,*1, 1,*1,0.65267176,23
18351,2,*2,1,1, 48,  1, 0, 1,0,* 6,1,0.81481481,33
18413,1,3,*2,1, 12,  5, 2, 0,0, 0,0,0.83248731,12
18500,1,3,1,1, 15,  3, 5,* 1,0, 1,1,0.71428571,16
18623,1,*5,1,1,  7,  0, 1, 1,0, 0,0,0.30434783,12
18734,2,3,4,1,* 20,  4, 4, 1,0, 1,*1,0.85211268,10
18736,3,*4,1,1,*  1,  0, 0,* 2,0, 0,1,0.89830508, 7
18913,1,3,*6,1,  7,  0, 1, 0,0, 0,0,0.85483871,21
19005,1,3,1,*0,  1,  0, 1, 0,0, 0,0,0.75510204,10
19022,1,*2,1,1, 11,  1, 0, 1,0, 0,1,0.72413793,36
19023,1,*2,1,1, 14,  1, 0, 2,0, 0,2,0.72413793,36
19111,7,*2,1,1,  7,*  1,* 1,* 3,0, 0,*1,*0.55555556,*11
19317,1,3,*3,1,  3,  1, 1, 1,0, 0,1,0.41304348,18
19358,1,4,1,1,  9,  0, 2, 2,*1, 0,0,0.84313725,15
19490,1,3,*3,1,  1,  1, 0, 0,0, 0,0,0.48000000,18
19507,1,4,1,1, 11,  2, 5,* 0,0, 0,0,0.50000000, 1
19567,2,3,4,1,* 10,  2, 0, 0,0, 0,*0,0.76190476, 1
19596,1,*1,4,1, 18,  1, 0, 1,1, 0,1,0.64285714, 3
19626,1,3,*2,1, 17,  1, 1, 0,0, 0,0,0.78260870,12
19643,1,3,*3,1, 19,  0, 0, 1,0, 0,1,0.86567164,12
19688,1,*1,1,1, 12,  0, 1, 1,0, 0,1,0.90654206,11
19781,1,3,1,1,  9,  1, 6,* 2,0, 1,1,0.72847682,18
19805,1,*5,4,1,  1,  0, 0, 1,0, 0,0,0.61111111,12
20048,1,*2,1,1,  5,  0, 0, 0,0, 0,0,0.91814947,24
20131,2,3,4,1, 21,  2,* 8,* 1,0, 1,1,0.78768577,16
20411,2,3,1,1,  3,*  2, 0, 2,0,* 1,1,0.74418605,22
20528,2,3,1,1,  7,*  3, 0, 1,0, 0,1,*0.73850575,25
20532,1,3,1,1, 10,*  3, 0, 1,0, 0,1,0.73850575,23
20670,4,3,*7,1,  6,  0,* 1, 1,0,* 1,1,*0.90232558,17
20671,4,3,*7,1,  7,  0,* 1, 1,0,* 1,1,*0.90232558,17
20730,1,*4,1,1,  2,  0, 0, 2,0, 0,1,0.87301587, 9
20740,1,3,*3,1,  7,  0, 0, 1,0, 0,1,0.89111748, 2
20746,3,*2,1,1,  4,  0,* 6,* 1,0, 0,1,0.60000000, 1
20941,1,3,*2,1,  8,  2, 0, 0,0, 0,0,0.84946237,11
21064,2,3,1,1,* 75,  2, 0, 2,0, 0,*1,0.60465116,11
21142,1,4,*2,1,  8,  1, 0, 0,0, 0,0,0.65853659, 1
21229,1,3,*6,1,  3,  0, 0, 1,0, 0,1,0.90449438, 7
21302,1,4,*2,1,  0,  0, 0, 0,0, 1,0,0.64705882,12
21303,1,4,*6,1,  0,  0, 0, 2,0, 0,1,0.87500000, 9
21304,1,4,*6,1,  1,  0, 0, 2,0, 0,1,0.89062500, 9
21305,1,4,*6,1,  1,  0, 0, 2,0, 0,1,0.89062500, 8
21306,1,4,*6,1,  2,  0, 0, 2,0, 0,1,0.89062500, 8
21462,1,3,4,1,  4,  2, 6,* 2,0, 0,1,0.84313725,15
21584,2,4,*2,1,  1,  3, 0, 0,0, 0,0,*0.20000000, 4
