,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
7299,1,4,7,1,  3, 0, 1,1,0,0, 0,*0.21052632,16
7407,1,*2,1,1,  3, 0, 2,2,0,0, 1,0.74100719,22
7642,1,3,*7,1, 41, 0, 0,1,0,0, 1,0.53846154, 1
7724,1,3,*5,1,  2, 0, 1,0,0,0, 0,0.88235294,20
7732,1,3,1,1,*  0, 0, 0,0,0,0, 0,0.50000000,34
7764,1,*5,1,1, 13, 0, 2,2,1,0, 1,0.84033613,20
7798,1,3,*2,1,  6, 1, 1,1,0,0, 2,0.87755102, 9
7802,1,3,*2,1,  7, 1, 1,0,0,0, 3,0.88888889, 9
7859,1,3,*2,1, 56, 3, 0,1,0,1, 0,0.40000000, 5
7883,1,3,1,1, 11, 0, 1,1,0,*2, 1,0.86000000, 3
7966,1,*2,1,1, 11, 1, 1,2,0,0, 1,0.72727273, 2
8168,1,3,*2,1, 65, 2, 1,0,0,0, 0,0.97326203, 2
8363,1,3,7,1, 11, 3, 0,2,0,*2, 1,0.65517241,18
8604,1,3,*6,1, 15, 1, 0,1,1,0, 1,0.50000000, 4
9017,2,3,4,*0,  6, 0, 1,1,0,0,* 0,0.82142857, 7
9054,1,3,1,*0,  5, 1, 1,0,0,1, 0,0.50000000,18
9152,1,1,1,1, 11, 0, 1,1,*2,0, 2,0.72881356, 6
9277,2,*5,*7,1,  2, 0, 1,2,0,0, 1,0.74193548, 3
9278,3,*5,*7,1,  3, 0, 1,2,0,*1, 1,0.74193548, 3
9279,3,*5,*7,1,  4, 0, 1,2,0,*1, 1,0.74193548, 3
9280,1,*5,7,1,  6, 0, 1,1,0,1, 2,0.77419355, 3
9303,1,*2,1,1, 56, 2, 1,1,0,0, 1,0.80000000, 1
9312,1,*2,1,1,  6, 1, 2,2,0,0, 1,0.74285714, 1
9330,1,3,*2,1, 41, 0, 1,1,0,0, 1,0.81366460, 4
9513,1,3,*2,1, 16, 2, 0,1,0,0, 1,0.75000000, 1
9514,1,3,*6,1,  2, 0, 1,0,0,0, 0,0.80769231, 5
9527,1,3,*6,1, 14, 0, 1,1,0,0, 1,0.83870968, 4
9557,1,*5,4,1,  6, 0, 0,1,0,1, 1,0.75000000, 1
9668,1,3,1,1,  9, 0, 1,2,0,0, 2,*0.12500000, 1
10122,1,3,4,1, 21, 2, 0,0,0,*1, 0,0.92335766, 2
10153,1,*5,4,1,  5, 0, 0,1,0,0, 1,0.61538462, 2
10185,2,3,1,*0, 32,10, 0,1,0,0,* 1,0.77777778, 1
10344,1,4,1,*0,  3, 0, 1,0,0,0, 0,0.66666667,13
10615,1,3,4,1, 41, 1, 0,1,0,*2, 1,0.75000000, 2
10695,1,1,*3,1, 11, 0, 1,1,0,1, 1,0.50000000, 6
10791,1,3,*3,1,  2, 2, 0,0,0,0, 0,0.50000000, 1
10850,8,*3,*1,1,* 17,* 2,* 1,1,0,*0, 1,*0.70000000,* 2
10864,3,3,1,1, 13, 0,* 4,1,0,*2, 1,*0.18181818, 2
10911,1,4,4,1, 21, 4, 0,1,0,0, 1,*0.08510638, 1
11137,1,3,*6,1, 31, 6, 1,1,0,1, 1,0.77659574,14
11305,1,3,*5,1, 17, 1, 1,1,0,0, 1,0.69642857, 1
11309,1,3,*5,1, 23, 1, 0,1,0,0, 2,0.72131148, 1
11310,1,3,*5,1, 23, 1, 0,1,0,0, 2,0.70967742, 1
11312,1,3,*5,1, 25, 1, 0,1,0,0, 2,0.72580645, 1
11316,1,3,*5,1, 27, 2, 0,1,0,0, 2,0.77419355, 1
11319,1,3,*5,1, 27, 2, 0,1,0,0, 2,0.78125000, 1
11321,1,3,*5,1, 27, 2, 0,0,0,0, 3,0.75000000, 1
11322,1,3,*5,1, 27, 2, 0,0,0,0, 3,0.73913043, 1
11323,1,3,*5,1, 27, 2, 0,0,0,0, 3,0.72857143, 1
11325,1,3,*5,1, 27, 2, 0,0,0,0, 3,0.73611111, 1
