"","Count","priority","issuetype","link_count","affect_count","fix_count","has_priority_change","has_desc_change","has_fix_change","reporter_rep","assignee_workload"
"162270",1,"3","*6"," 0"," 2","2","0","0"," 2","82.70588"," 9"
"166423",1,"3","*5"," 5"," 0","0","0","0"," 0","90.69767"," 8"
"177555",2,"3","*6"," 0"," 0","5","1","0","*18","77.62712"," 8"
"177562",1,"3","1"," 0"," 3","0","0","*2"," 0"," 0.00000"," 1"
"177663",1,"3","*6"," 2"," 0","4","1","0"," 5","72.99270"," 9"
"180939",1,"3","*5"," 0"," 0","0","0","0"," 0","95.45455"," 8"
"181018",1,"3","1"," 1"," 0","1","0","0","*10","61.53846"," 4"
"186734",1,"2","*5"," 2"," 1","1","0","0"," 0","55.17241","32"
"187621",1,"*5","1"," 0"," 2","5","0","0"," 1","89.39394","22"
"187623",2,"*1","1"," 0"," 0","*8","0","1"," 0","83.29082","21"
"195392",1,"3","*5"," 0"," 1","1","0","0"," 0","60.59113","31"
"196125",2,"3","1"," 1","* 6","*7","0","0"," 1","85.60000","36"
"197981",1,"3","*5"," 1"," 0","0","0","0"," 0","54.05405","22"
"199656",1,"3","*5","14"," 1","1","0","1"," 0","49.20635","55"
"205784",2,"3","*5","*19"," 0","0","0","0"," 0","50.40650","51"
"207679",1,"3","2","*20"," 1","2","0","1"," 5","66.36852","31"
"208483",1,"2","1"," 0"," 3","1","1","1","* 7"," 0.00000"," 8"
"208509",1,"4","*5"," 0"," 0","0","0","0"," 0","20.00000"," 6"
"213828",1,"4","1"," 0"," 0","1","0","1","* 8","83.27606"," 8"
"217665",1,"3","1"," 0"," 1","*6","0","0"," 0","89.75610","20"
"221167",1,"1","2"," 1"," 0","1","2","*4"," 2","62.31156","31"
"221247",1,"2","*5"," 7"," 0","0","0","0"," 0","91.91213","44"
"223073",1,"3","*5"," 6"," 0","2","0","0"," 0","73.07692"," 5"
"223261",1,"3","4"," 3"," 0","1","0","*4"," 0","52.87356","34"
"224120",1,"3","4"," 0"," 2","2","2","*6"," 1","33.33333"," 1"
"224121",1,"3","4"," 0"," 2","0","2","*6"," 2","33.33333"," 1"
"224517",1,"3","1"," 0"," 0","*6","0","0"," 0","89.59538","22"
"228376",1,"4","3"," 0"," 0","1","0","0","* 7","83.27606"," 8"
"229953",1,"4","*3"," 0"," 0","2","0","0"," 0","72.86822","11"
"230038",1,"3","*6"," 1"," 0","0","0","1"," 0","72.86822"," 5"
"230041",1,"3","*6"," 1"," 0","0","0","1"," 0","74.13127"," 5"
"230430",1,"3","1"," 0"," 0","6","0","0","*19","89.18367"," 8"
"236250",1,"*1","1"," 0"," 0","4","0","0"," 0","82.14286","32"
"237815",2,"*5","1"," 0"," 0","*6","0","0"," 0","89.77273","21"
"245433",1,"2","1"," 0"," 6","2","0","0","*16","58.62069","43"
"246882",1,"3","*5"," 0"," 0","3","0","0"," 0","89.48949"," 1"
"248050",1,"3","*5"," 0"," 1","0","0","0"," 0"," 0.00000"," 8"
"248250",1,"3","*5"," 3"," 1","0","0","1"," 1","77.77778"," 3"
"253107",1,"5","*6"," 0"," 1","0","0","0"," 0","80.39216"," 5"
"254290",1,"3","*5"," 2"," 0","0","0","0"," 0","89.75571"," 8"
"257715",1,"*4","1"," 0"," 0","0","0","0"," 0","37.50000"," 1"
"260032",1,"3","*5"," 0"," 0","0","0","0"," 0","90.07188","55"
"261251",1,"*5","4"," 0"," 0","3","0","0"," 0","81.52174"," 4"
"263399",1,"2","3"," 1"," 0","0","*3","0"," 1","60.95890","39"
"264406",1,"2","*5"," 3"," 1","1","0","0"," 3","78.64407"," 8"
"265022",1,"3","*5"," 2"," 0","1","0","1"," 0","92.46231","12"
"266123",1,"3","3"," 2"," 0","0","2","*3"," 3","74.42922","48"
