"","Count","priority","issuetype","link_count","affect_count","fix_count","has_priority_change","has_desc_change","has_fix_change","reporter_rep","assignee_workload"
"768180",1,"4","*5"," 0"," 0","0","0","0"," 0","64.17910"," 8"
"768456",1,"3","*5","15"," 2","0","0","0"," 0","72.55245"," 8"
"779282",1,"3","*5"," 4"," 0","1","0","0"," 0","60.65574"," 9"
"782097",1,"3","4"," 0"," 1","1","1","0","* 7","88.18381"," 8"
"785011",1,"3","4"," 0"," 0","0","0","*3"," 0","64.55696"," 8"
"787285",1,"3","1"," 0"," 0","1","0","0","*11","96.49805"," 8"
"787346",1,"3","1"," 0"," 0","0","0","0","* 6","86.43326"," 8"
"789510",1,"2","1"," 2"," 1","0","1","0","*12","82.67717","13"
"791415",1,"3","*5"," 0"," 0","0","0","0"," 0","81.08108"," 8"
"792660",1,"3","4"," 4"," 2","3","1","1","* 8","84.18079"," 7"
"792712",1,"3","1"," 1"," 0","2","2","0","*11","63.63636"," 1"
"792715",1,"3","1"," 3"," 0","2","2","0","*12","63.63636"," 1"
"792717",1,"3","1"," 4"," 0","2","2","0","*12","63.63636"," 1"
"793489",1,"4","2"," 1"," 0","2","0","0","* 9","71.42857"," 2"
"794687",1,"5","*5"," 0"," 0","0","0","0"," 0","40.00000"," 3"
"795284",1,"3","1"," 0"," 0","4","*2","0"," 1","33.33333"," 9"
"795856",1,"3","1"," 0"," 0","1","0","*3"," 0","25.00000"," 3"
"795927",1,"3","1"," 0"," 0","1","*2","0"," 0","52.63158","16"
"800211",1,"3","*6"," 0"," 0","1","0","0"," 0","20.00000"," 9"
"803911",1,"3","*5"," 1"," 0","0","0","0"," 0","79.28994"," 8"
"805677",1,"3","7","*19"," 2","0","0","0"," 0","82.07171","24"
"809594",1,"2","*5"," 3"," 3","1","1","0"," 1","71.55756"," 6"
"812568",1,"3","1"," 1"," 0","1","*2","0"," 0","50.00000"," 8"
"812752",1,"3","*5"," 0"," 0","0","0","0"," 0","66.66667","11"
"824189",1,"3","*5"," 0"," 0","0","0","0"," 0","74.50980"," 8"
"824272",1,"3","7"," 0"," 0","1","*2","0"," 3","79.83193","10"
"825770",1,"4","1"," 1"," 3","0","1","1","* 8","91.13150"," 2"
"834491",1,"3","*5"," 3"," 1","0","0","1"," 0","66.66667","17"
"838078",1,"3","4"," 0"," 1","0","0","0","* 4","68.75000"," 3"
"839989",1,"4","*5"," 0"," 0","0","0","0"," 0","50.00000"," 8"
"840219",1,"3","*5"," 2"," 0","0","0","0"," 0","80.00000"," 8"
"841306",1,"3","*5"," 1"," 2","0","0","0"," 0","25.00000"," 8"
"843737",1,"3","*6"," 0"," 0","1","0","0"," 0"," 0.00000"," 2"
"843757",1,"3","*3"," 5"," 0","1","0","0"," 0","87.14286"," 3"
"844672",1,"3","3"," 0"," 0","1","*2","0"," 1","87.08564"," 8"
"845230",2,"3","4"," 4"," 1","0","*3","0","* 8","98.75776","19"
"845327",1,"2","2"," 5"," 1","2","1","*5"," 3","76.38889","15"
"845341",1,"3","2"," 2"," 1","2","0","*3"," 0","75.00000","15"
"846884",1,"5","*5"," 0"," 1","0","0","0"," 0","78.00000"," 1"
"851404",1,"4","1"," 1"," 2","1","0","0","*13","82.35294"," 4"
"861967",1,"4","*5"," 0"," 1","0","0","0"," 0"," 0.00000"," 8"
"862063",1,"3","1"," 0"," 2","3","0","1","* 9","84.69945"," 2"
"862153",1,"4","*5"," 0"," 0","0","0","0"," 0","58.82353"," 8"
"862750",1,"3","*6"," 0"," 0","1","0","0"," 1","62.50000","10"
"865896",1,"1","*6"," 2"," 0","0","2","0"," 1","78.57143","40"
"867403",1,"5","*5"," 0"," 0","0","1","0"," 0","71.42857"," 8"
"867915",1,"3","*5"," 1"," 0","0","0","1"," 5","84.84848"," 4"
"871438",1,"4","1"," 0"," 1","0","0","0","* 3","66.66667"," 1"
"876569",1,"3","*5"," 0"," 0","0","1","0"," 0"," 0.00000"," 8"
"878163",1,"5","*5"," 0"," 0","0","0","0"," 0","45.83333"," 8"
"883382",1,"3","1"," 0"," 1","1","0","0","*11","88.46154"," 7"
"883383",1,"3","1"," 0"," 1","1","0","0","*11","91.02564"," 6"
"885116",1,"3","*6"," 0"," 0","2","0","1"," 0","57.06522","14"
"892532",2,"2","1"," 3"," 3","2","*3","0","*11","78.28571","31"
"892637",1,"3","*6"," 1"," 1","0","0","0"," 0","64.28571"," 8"
"894492",1,"4","*5"," 1"," 0","0","0","0"," 1","87.50000"," 3"
"896385",1,"3","4"," 1"," 0","0","*2","0"," 1","83.47935"," 8"
"897280",1,"3","*5"," 0"," 0","0","0","0"," 0","89.45578"," 8"
"898760",1,"4","*5"," 0"," 1","1","0","0"," 0","16.66667"," 2"
"900225",1,"2","*6"," 1"," 0","1","1","0"," 1","85.71429","10"
"910582",1,"4","4"," 2"," 2","1","0","1","* 9","63.63636"," 2"
"910600",1,"3","*6"," 0"," 2","1","0","1"," 0"," 0.00000"," 1"
"910601",1,"3","*6"," 0"," 2","1","0","1"," 0"," 0.00000"," 1"
"910603",1,"3","*6"," 0"," 2","2","0","0"," 0","33.33333"," 8"
"910672",1,"3","*6"," 0"," 2","3","0","0"," 0","50.00000"," 4"
"910887",1,"3","*6"," 0"," 0","0","0","0"," 0","16.66667"," 5"
"910894",1,"3","*6"," 0"," 1","0","0","1"," 0","33.33333"," 5"
"910906",1,"3","*6"," 0"," 0","0","0","0"," 0","50.00000"," 4"
"910910",1,"3","*6"," 0"," 1","0","0","0"," 0","16.66667"," 8"
"910923",1,"3","*6"," 0"," 3","0","0","0"," 0","50.00000"," 4"
"911130",1,"3","*6"," 0"," 0","0","0","0"," 0","33.33333"," 1"
"912623",1,"4","2"," 0"," 2","0","0","0","* 7","79.41176"," 5"
"913999",1,"3","*6"," 0"," 0","0","0","0"," 0"," 0.00000"," 2"
"914003",1,"3","*6"," 0"," 0","0","0","0"," 0"," 0.00000"," 4"
"914516",1,"4","1"," 0"," 1","0","0","0","* 9","76.47059","14"
"915373",1,"3","*5"," 0"," 0","0","0","1"," 0","86.95107"," 8"
"915487",1,"3","4"," 1"," 4","3","1","1","*11","54.54545","10"
"915507",1,"3","*6"," 0"," 0","0","0","0"," 0","66.96035"," 8"
"916322",1,"3","1"," 0"," 3","0","*2","1"," 0","75.21515"," 8"
"918760",1,"3","1"," 1"," 1","1","*2","0"," 1","89.86083"," 2"
"925810",1,"1","*5"," 5"," 0","1","2","0"," 1","84.65909","68"
"925855",1,"4","1"," 0"," 1","0","0","0","* 3","83.33333"," 1"
"926590",1,"4","*6"," 0"," 1","3","0","1"," 2","71.05263","13"
"929270",1,"4","*6"," 1"," 1","0","0","0"," 0","73.49398","46"
"951317",1,"3","*6"," 0"," 0","1","0","0"," 0","77.19298","12"
"953104",1,"*2","1"," 0"," 0","0","0","0"," 0","75.40984"," 8"
"958778",1,"3","*6"," 1"," 0","1","0","0"," 0","68.68687","23"
"959032",1,"3","*6"," 0"," 0","2","0","0"," 0","68.87160","14"
"960252",1,"3","*6"," 0"," 1","0","0","0"," 0","68.81356","21"
"962616",1,"3","*6"," 0"," 0","0","0","0"," 0","69.14894"," 8"
"963262",1,"3","*5"," 2"," 1","0","0","0"," 0","75.21515"," 8"
"971087",1,"4","*5"," 0"," 0","0","0","0"," 0","68.18182"," 8"
"971540",1,"3","*6"," 2"," 0","1","0","0"," 6","63.71681"," 1"
"972831",1,"4","*5"," 1"," 0","1","0","0"," 0","63.07692"," 8"
"973806",1,"2","1"," 1"," 0","1","0","0","* 8","90.31720"," 5"
"974158",1,"3","*5"," 0"," 0","0","0","0"," 0","92.20978"," 8"
"974208",1,"3","2"," 0"," 1","4","0","1","*11","54.16667"," 6"
"974495",1,"3","*5"," 2"," 0","0","0","0"," 0","91.26214","10"
"985163",1,"3","*5"," 1"," 0","0","0","0"," 0","38.88889"," 4"
"990409",1,"4","*2"," 0"," 1","0","0","0"," 0","50.00000"," 5"
"992375",1,"3","4"," 2"," 1","0","0","0","*12","84.49409","48"
"993360",1,"4","1"," 0"," 0","1","*2","0"," 0","75.65982","17"
"993597",1,"3","*6"," 0"," 0","0","0","0"," 0","74.09639","21"
"996692",1,"3","*6"," 0"," 0","0","0","0"," 0","80.88235"," 8"
"996786",1,"3","*6"," 0"," 0","0","0","0"," 0","77.07736"," 8"
"996930",1,"3","*5"," 0"," 1","1","0","1"," 0","61.76471","16"
"998137",1,"3","*5"," 0"," 0","0","0","1"," 1","72.63969"," 8"
"1000687",1,"*5","1"," 0"," 2","2","0","0"," 0","84.48276","17"
"1000760",1,"4","*6"," 0"," 1","0","0","0"," 0","81.62791"," 8"
