,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
9389,1,3,1,1,*  0, 0,0,1,0,0, 0,0.86231884, 9
9398,1,*1,1,1, 19, 3,1,3,0,0, 2,0.72000000, 4
9399,1,*1,1,1, 20, 3,1,3,0,0, 2,0.72111554, 3
9485,1,*5,1,1,  2, 0,0,3,0,0, 0,0.77653631,23
9486,1,*5,1,1,  6, 0,0,3,0,0, 0,0.78212291,23
9490,1,3,*3,1,  1, 0,0,0,0,0, 1,0.86349970,33
9586,2,3,*7,1, 53,* 2,1,2,0,1, 1,0.50000000, 3
9631,1,4,4,1, 13,* 2,1,1,0,0, 0,0.75000000, 8
9919,2,*2,*4,1, 25, 0,2,2,1,0, 0,0.82758621,53
9962,1,3,4,1, 14, 0,0,0,0,0,* 4,0.81155779,14
9999,2,3,1,*1,  1, 0,1,1,0,0, 0,0.89285714,*92
10008,1,3,4,1, 14,* 2,0,1,0,1, 0,0.60869565, 2
10010,1,3,*6,1,  8, 0,0,2,0,0, 1,0.77183099,11
10012,1,3,1,1, 11, 1,1,1,0,0, 1,*0.33333333, 7
10018,2,*2,*3,1, 16, 1,1,1,1,1, 1,0.84848485,37
10039,1,3,*3,1, 36, 0,2,2,0,0, 2,0.75757576, 4
10040,1,3,*3,1, 36, 0,2,2,0,0, 2,0.73529412, 5
10043,1,3,*3,1, 36, 0,2,1,0,0, 4,0.76470588, 5
10045,2,3,*3,1, 37, 0,2,1,0,0,* 5,0.79411765, 5
10046,2,3,*3,1, 37, 0,*2,1,0,0, 5,0.82352941, 4
10058,3,3,1,*0, 16,* 2,2,0,0,0, 4,0.66666667,*18
10063,1,3,*6,1,  9, 0,0,1,0,0, 1,0.77183099, 4
10064,1,3,*6,1, 25, 0,0,4,0,0, 2,0.77437326, 3
10130,1,3,4,1,  9,* 2,0,0,0,0, 2,0.53947368, 5
10714,1,3,*6,0,  2, 0,0,0,0,0, 0,0.77437326, 8
10824,1,4,1,0,  4, 0,0,1,0,*1, 1,0.55555556, 8
10995,1,4,*3,1, 13, 0,1,2,0,0, 2,0.84220183, 2
11203,4,*3,4,1,*136,* 2,0,1,*3,0, 6,0.84778761, 2
11265,2,3,*4,1, 12, 0,*4,2,0,0, 1,0.69767442,17
11266,1,4,*6,0,  5, 0,0,0,0,0, 1,0.77437326, 8
11334,1,4,1,1,  8, 0,1,2,0,1, 1,*0.00000000, 1
11336,1,4,1,1,  8, 0,1,2,0,1, 1,*0.00000000, 3
11340,1,4,1,1,  9, 0,1,*4,0,1, 2,0.60000000, 2
11346,1,3,*3,1, 13, 1,2,1,0,0, 1,0.80555556,38
11347,1,*1,1,1,  5, 0,1,2,0,0, 0,0.75862069, 4
11348,1,*1,1,1, 10, 0,1,2,0,0, 0,0.82758621, 4
11434,1,3,1,1, 45, 1,*4,2,0,0, 1,0.77914110,12
11526,2,*5,1,1,  3, 0,1,0,0,0, 0,0.66666667,* 1
11538,1,3,1,1,  6, 0,*3,3,0,0, 1,0.72111554,54
11581,1,*2,1,1,  5, 0,1,2,0,0, 1,0.83333333, 3
11592,1,3,*6,1,  6, 0,0,0,0,0, 0,0.79076087,13
11593,7,*3,1,1,* 30, 0,*0,*4,0,0,* 1,*0.85779817,* 3
11595,2,*2,1,1,  6, 1,*3,2,0,0, 0,0.72023810,54
11641,9,3,*1,*1,* 22,* 3,*0,0,0,*0,* 0,*0.68421053,*10
11660,1,3,*4,0,  3, 0,0,1,0,0, 0,0.85918854, 8
11662,1,3,*6,0,  6, 0,0,0,0,0, 0,0.77472527, 8
11669,2,3,*3,1,*  0, 0,0,0,0,0, 0,0.59183673, 9
11748,2,3,1,*0,*  0, 1,1,0,0,0, 0,0.75215146,46
11750,2,*5,4,1,  4, 0,1,1,0,*2, 0,0.26666667, 5
11762,2,*5,4,1,  6, 0,1,1,0,*2, 0,0.45833333,14
11765,1,3,1,1,  8,* 1,2,2,0,0, 0,0.72134387,53
12336,2,*2,*4,1, 36, 0,0,1,1,0, 5,0.83934426, 2
12527,3,*4,*7,0,  1,* 2,0,0,0,0, 0,0.78260870, 8
12611,2,*5,*3,1,  7, 0,0,1,1,0, 1,0.78201635, 4
12613,2,*5,*3,1,  7, 0,0,1,1,0, 1,0.79076087, 4
13120,2,3,1,1, 17, 0,*4,2,0,1, 2,0.76470588,* 1
13966,2,4,*3,1, 22, 0,0,2,*1,0, 1,0.78201635,12
13967,1,4,*3,1, 26, 0,0,2,1,0, 1,0.78201635,12
14800,3,4,*3,*0, 39, 1,0,0,1,0, 2,0.90758048,*28
14837,3,*2,*7,1,  5, 0,0,1,*1,0, 0,0.85267857, 8
14843,1,3,*6,1, 28, 0,0,1,0,1, 1,0.85777778, 8
14845,1,*1,1,1,  2, 0,1,0,0,0, 0,0.90625000, 4
14887,1,3,*4,1,  7, 0,0,1,0,0, 1,0.86556604,10
14898,1,4,4,1,  3, 1,1,1,0,0, 0,0.80000000,* 1
14900,5,*2,1,*0, 20, 0,*3,*4,0,0, 2,*0.91124260, 8
14902,6,*2,1,*0, 25,* 1,2,2,*0,0,* 3,*0.91124260, 8
14922,2,*2,1,0, 27, 1,2,1,0,0, 4,*0.92607004, 8
14924,1,*2,1,1, 13, 0,2,2,0,0, 1,0.78125000, 6
14925,1,*2,1,1, 21, 0,2,4,0,0, 2,0.81250000, 6
14961,2,3,*2,1,  5, 1,0,0,0,0,* 0,0.84931507, 7
15262,1,3,4,1, 47, 2,0,1,0,*1, 1,0.77058824,13
15287,1,3,*2,1, 37, 1,0,0,0,0, 0,0.80769231,10
15294,1,3,*2,1, 39, 2,0,0,0,0, 0,0.88461538, 7
15349,1,3,1,1,  5, 0,0,1,0,*1, 1,0.86086957, 7
15361,2,*4,1,1,  9, 0,1,0,0,*1, 0,0.50000000, 5
15377,1,3,1,1,  2,* 3,0,1,0,0, 0,0.86026201, 8
15475,1,4,4,1, 55, 1,0,2,0,1, 2,0.50000000,* 1
15480,1,3,4,1,  8, 0,0,1,0,0, 1,0.50000000,* 1
15483,2,4,*2,1,  2, 0,1,1,0,0, 0,*0.20000000, 3
15485,5,*3,*1,1,* 18, 0,*1,2,0,0, 1,*0.71595331,52
16554,1,2,1,0, 16, 3,0,0,1,*2, 4,0.68421053, 7
16601,3,3,*7,1, 12, 0,*1,2,0,0, 0,0.83870968,* 2
16604,1,3,*7,1, 12, 0,1,2,0,0, 0,0.81818182, 3
16671,1,3,*7,1, 17, 0,1,2,0,0, 0,0.84285714, 8
16673,1,3,1,1,  9, 4,2,2,*2,0, 2,0.72373541,52
16676,1,3,1,*0,  1, 0,1,0,0,0, 2,0.72480620,52
16693,4,*3,*3,1,  5, 0,0,0,*2,0, 2,*0.33333333, 9
16695,1,*1,1,0, 24, 0,2,1,0,0, 1,0.86314526, 8
16698,2,*1,1,*0, 43, 0,2,2,0,0, 2,0.86270983, 8
16702,1,4,1,1, 14, 1,1,1,0,0, 2,*0.27272727, 4
16707,2,3,1,*0,  6, 0,0,*4,0,0, 1,0.86147186, 8
16715,1,3,*2,0,  8, 0,0,0,0,0, 2,0.50000000, 8
16730,2,*1,*7,1,  1, 0,0,1,1,0, 1,0.89743590, 4
16732,1,3,*2,0,  4, 0,1,0,0,0, 0,0.66666667, 8
16774,2,*2,1,1, 18, 0,0,4,*1,1, 3,0.72727273, 5
16783,1,*2,1,1, 11, 0,0,3,0,0, 1,0.87013764,32
16826,1,4,1,1,  5, 0,0,1,0,0, 1,0.60000000,* 2
16892,1,*1,1,1, 16, 0,1,2,1,1, 0,0.81818182, 4
16893,1,*1,1,1,  3, 0,1,2,0,0, 0,0.78787879, 4
16894,1,*1,1,1,  5, 1,1,2,0,0, 0,0.81818182, 4
16896,1,*1,1,1, 26, 1,1,2,0,0, 0,0.81818182, 3
16897,1,*1,1,1, 28, 1,1,2,0,0, 0,0.81818182, 3
16898,1,*1,1,1, 33, 1,1,2,0,0, 0,0.81818182, 3
16900,1,*1,1,1, 41, 1,1,2,0,0, 0,0.81818182, 3
16903,1,*1,1,1, 84, 1,1,2,0,0, 0,0.83333333, 6
16909,1,3,4,1, 28, 0,0,2,0,0, 2,*0.16666667, 3
16914,1,*2,1,1, 12, 1,1,2,0,0, 0,0.83448276,35
