issuekey	start	end	is_dead	priority	is_assigned	issuetype	has_priority_change
HBASE-14665	0	1	1	3	1	4	0
HBASE-10876	0	10	1	3	1	1	0
HBASE-21620	0	1	0	3	0	1	0
HBASE-21620	1	2	1	3	1	1	0
HBASE-17485	0	6	1	3	1	7	0
HBASE-22024	0	9	1	4	1	7	0
HBASE-20643	0	357	0	3	1	4	0
HBASE-22016	0	3	1	3	1	7	0
HBASE-17372	0	1	0	3	0	7	0
HBASE-17372	1	22	1	3	1	7	0
HBASE-19866	0	3	1	3	1	7	0
HBASE-4324	0	1903	1	3	0	1	0
HBASE-19097	0	8	1	3	1	3	0
HBASE-12202	0	18	1	3	1	7	0
HBASE-19205	0	1	1	3	1	7	0
HBASE-20957	0	11	0	3	0	7	0
HBASE-20957	11	294	0	3	1	7	0
HBASE-16926	0	937	0	3	0	7	0
HBASE-21316	0	213	0	3	0	1	0
HBASE-1289	0	1	1	3	1	4	0
HBASE-16678	0	8	1	3	1	1	0
HBASE-17044	0	2	0	2	0	1	0
HBASE-17044	2	7	1	2	1	1	0
HBASE-14581	0	2	1	3	1	1	0
HBASE-10744	0	1	1	4	1	4	0
HBASE-2651	0	1	1	4	1	4	0
HBASE-3907	0	476	1	3	1	4	0
HBASE-21164	0	19	1	4	1	4	0
HBASE-18657	0	632	0	3	0	7	0
HBASE-6039	0	47	1	3	1	3	0
HBASE-11094	0	47	1	1	1	7	0
HBASE-6457	0	1574	1	3	0	1	0
HBASE-19573	0	4	0	3	0	7	0
HBASE-19573	4	5	1	3	1	7	0
HBASE-16435	0	22	1	3	1	7	0
HBASE-11521	0	1	1	2	1	1	0
HBASE-14273	0	4	1	3	1	1	0
HBASE-14953	0	2	0	3	1	1	0
HBASE-14953	2	3	1	2	1	1	1
HBASE-5636	0	5	0	3	0	1	0
HBASE-5636	5	7	1	3	1	1	0
HBASE-2214	0	106	0	3	0	1	0
HBASE-2214	106	236	0	3	1	1	0
HBASE-2214	236	775	0	3	1	2	0
HBASE-2214	775	776	0	3	0	2	0
HBASE-2214	776	895	0	3	1	2	0
HBASE-2214	895	911	1	3	0	2	0
HBASE-19876	0	16	1	2	1	1	0
HBASE-16917	0	937	0	3	0	7	0
HBASE-20916	0	300	0	3	0	1	0
HBASE-20129	0	2	1	3	1	7	0
HBASE-4417	0	1	0	4	0	1	0
HBASE-4417	1	2	1	4	1	1	0
HBASE-12879	0	3	1	5	0	3	0
HBASE-11422	0	7	1	3	1	1	0
HBASE-13643	0	1470	0	3	0	4	0
HBASE-17706	0	3	0	4	0	1	0
HBASE-17706	3	156	0	4	1	1	0
HBASE-17706	156	245	1	3	1	1	1
HBASE-8330	0	76	1	4	1	13	0
HBASE-4004	0	4	1	4	1	4	0
HBASE-7845	0	5	0	3	0	4	0
HBASE-7845	5	37	1	3	1	4	0
HBASE-14017	0	3	1	1	1	7	0
HBASE-6471	0	15	0	2	0	1	1
HBASE-6471	15	18	1	2	1	1	1
HBASE-15352	0	1175	0	3	0	2	0
HBASE-365	0	1	1	4	0	1	0
HBASE-2595	0	112	1	3	0	3	0
HBASE-15200	0	3	1	4	1	1	0
HBASE-22	0	12	0	5	0	1	0
HBASE-22	12	23	0	5	1	1	0
HBASE-22	23	71	1	5	1	1	0
HBASE-17117	0	3	0	1	0	1	0
HBASE-17117	3	323	1	3	0	1	1
HBASE-15887	0	757	0	5	0	2	0
HBASE-15887	757	1087	0	5	1	2	0
HBASE-16880	0	6	1	3	1	1	0
HBASE-17167	0	2	0	3	0	7	0
HBASE-17167	2	7	1	3	1	7	0
HBASE-11839	0	13	1	3	1	1	0
HBASE-1005	0	2	1	4	1	4	0
HBASE-13161	0	179	0	3	0	1	0
HBASE-13161	179	287	1	3	1	1	0
HBASE-7843	0	7	0	3	1	4	0
HBASE-7843	7	14	1	2	1	4	1
HBASE-6041	0	5	1	3	1	1	0
HBASE-10109	0	483	1	4	1	4	0
HBASE-15717	0	1	1	4	1	6	0
HBASE-17624	0	4	1	3	1	1	0
HBASE-2267	0	7	1	4	1	4	0
HBASE-12824	0	1	1	2	1	1	0
HBASE-9306	0	4	1	4	1	1	1
HBASE-392	0	20	1	3	0	1	0
HBASE-13327	0	3	1	3	1	7	0
HBASE-9866	0	49	1	3	1	4	0
HBASE-3037	0	1	1	3	0	1	0
HBASE-902	0	1	0	3	0	4	0
HBASE-902	1	63	1	3	1	4	0
HBASE-19694	0	1	0	3	0	1	0
HBASE-19694	1	2	0	2	0	1	1
HBASE-19694	2	9	1	2	1	1	1
HBASE-12759	0	974	1	4	0	1	0
HBASE-20423	0	395	0	3	0	7	0
HBASE-12572	0	1633	0	3	0	1	0
HBASE-14707	0	1064	1	3	0	1	0
HBASE-6755	0	11	0	3	1	1	0
HBASE-6755	11	238	1	4	1	1	1
HBASE-5945	0	1	0	4	1	4	0
HBASE-5945	1	114	0	2	1	4	1
HBASE-5945	114	230	0	1	1	4	1
HBASE-5945	230	326	0	1	1	4	1
HBASE-5945	326	567	1	3	1	4	1
HBASE-19649	0	1	1	5	1	4	0
HBASE-13194	0	1	0	3	0	1	0
HBASE-13194	1	2	1	3	1	1	0
HBASE-18601	0	1	0	3	1	3	0
HBASE-18601	1	23	0	3	1	3	0
HBASE-18601	23	30	0	3	1	3	0
HBASE-18601	30	85	0	3	1	3	0
HBASE-18601	85	90	1	3	1	3	0
HBASE-613	0	17	0	3	0	1	0
HBASE-613	17	49	0	3	1	1	0
HBASE-613	49	55	1	1	1	1	1
HBASE-1597	0	2	1	3	0	1	0
HBASE-14393	0	1	1	3	1	1	0
HBASE-16991	0	114	1	4	1	7	1
HBASE-12540	0	8	0	3	0	1	0
HBASE-12540	8	22	1	3	1	1	0
HBASE-6629	0	215	1	4	0	1	0
HBASE-11155	0	7	1	3	1	1	0
HBASE-13429	0	1	1	3	1	7	0
HBASE-21302	0	10	1	3	1	3	0
HBASE-18501	0	8	0	3	1	14	0
HBASE-18501	8	24	1	2	1	14	1
HBASE-19655	0	504	0	3	0	3	0
HBASE-14952	0	8	1	1	1	1	0
HBASE-18617	0	1	1	4	1	1	1
HBASE-1199	0	3745	0	3	0	4	0
HBASE-5083	0	8	0	3	0	4	0
HBASE-5083	8	502	0	3	1	4	0
HBASE-5083	502	524	0	3	0	4	0
HBASE-5083	524	551	1	3	1	4	0
HBASE-3777	0	20	1	4	1	4	0
HBASE-10687	0	1	1	4	1	1	0
HBASE-21553	0	5	1	3	1	4	0
HBASE-19620	0	9	1	4	0	3	1
HBASE-4412	0	16	1	3	1	1	0
HBASE-14326	0	46	0	3	0	1	0
HBASE-14326	46	56	1	3	1	1	0
HBASE-15544	0	1146	0	3	1	7	0
HBASE-19656	0	63	1	3	1	1	0
HBASE-3014	0	1278	1	5	0	4	1
HBASE-16417	0	2	0	3	0	4	0
HBASE-16417	2	13	0	3	0	7	0
HBASE-16417	13	73	0	3	1	7	0
HBASE-16417	73	444	1	3	1	7	0
HBASE-9917	0	4	1	3	1	7	0
HBASE-4719	0	1	0	3	0	1	0
HBASE-4719	1	2	1	3	1	1	0
HBASE-9104	0	2115	0	3	0	2	0
HBASE-5526	0	2	1	3	1	2	0
HBASE-936	0	10	1	3	1	4	0
HBASE-11290	0	100	0	3	1	7	0
HBASE-11290	100	475	0	3	1	7	0
HBASE-11290	475	485	0	3	0	7	0
HBASE-11290	485	564	0	3	1	7	0
HBASE-11290	564	1808	0	3	1	7	0
HBASE-7897	0	50	0	2	1	3	0
HBASE-7897	50	76	1	2	1	3	0
HBASE-722	0	104	0	5	0	4	0
HBASE-722	104	109	0	5	1	1	0
HBASE-722	109	123	0	3	1	1	1
HBASE-722	123	129	1	3	1	1	1
HBASE-22175	0	40	0	3	1	7	0
HBASE-1248	0	1956	1	3	0	4	0
HBASE-8647	0	1	1	3	1	1	0
HBASE-9532	0	11	1	3	0	1	0
HBASE-13604	0	22	1	4	1	1	0
HBASE-2863	0	5	1	3	1	1	0
HBASE-21013	0	2	0	2	0	7	0
HBASE-21013	2	248	1	2	1	7	0
HBASE-2390	0	469	1	3	1	4	0
HBASE-6901	0	2	1	3	1	1	0
HBASE-7871	0	32	0	3	0	1	0
HBASE-7871	32	35	0	2	0	1	1
HBASE-7871	35	44	1	2	1	1	1
HBASE-15568	0	2	1	3	1	7	0
HBASE-9916	0	1	1	4	0	3	0
HBASE-2917	0	52	1	3	0	4	0
HBASE-2741	0	5	1	3	1	1	0
HBASE-6518	0	37	1	5	1	1	0
HBASE-16988	0	925	0	3	1	4	0
HBASE-18454	0	659	0	3	0	1	0
HBASE-6467	0	3	0	3	0	1	0
HBASE-6467	3	4	1	3	1	1	0
HBASE-7948	0	28	1	3	1	4	0
HBASE-13391	0	131	1	3	1	1	0
HBASE-2015	0	1692	1	3	0	1	0
HBASE-10157	0	4	1	3	1	4	0
HBASE-3031	0	27	1	4	1	1	0
HBASE-6315	0	2508	0	4	0	1	0
HBASE-12811	0	2	1	3	1	1	0
HBASE-14938	0	933	0	3	1	4	0
HBASE-14938	933	1256	0	3	0	4	0
HBASE-14421	0	1	1	3	1	7	0
HBASE-22192	0	4	1	4	1	3	0
HBASE-5967	0	58	1	4	1	1	0
HBASE-10537	0	5	1	3	1	1	0
HBASE-15894	0	302	0	3	0	7	0
HBASE-15894	302	307	1	3	1	7	0
HBASE-12189	0	1	0	3	1	1	0
HBASE-12189	1	3	1	3	1	7	0
HBASE-21094	0	194	1	3	1	7	0
HBASE-11314	0	1802	0	3	0	4	0
HBASE-2195	0	574	0	3	0	7	0
HBASE-2195	574	577	1	3	1	7	0
HBASE-5214	0	1085	1	3	0	1	0
HBASE-19139	0	69	0	3	1	4	0
HBASE-19139	69	70	1	3	1	4	0
HBASE-15283	0	1	1	3	1	1	0
HBASE-8089	0	51	0	3	0	2	0
HBASE-8089	51	2255	0	3	1	2	0
HBASE-18667	0	49	0	3	0	7	0
HBASE-18667	49	50	1	3	1	7	0
HBASE-10673	0	1899	0	3	0	1	0
HBASE-12686	0	1	1	1	1	1	1
HBASE-16671	0	1	1	4	1	6	0
HBASE-21538	0	10	0	3	0	7	0
HBASE-21538	10	35	1	3	1	7	0
HBASE-6135	0	6	0	3	0	4	0
HBASE-6135	6	15	1	3	1	4	0
HBASE-8870	0	84	1	4	1	1	0
HBASE-8332	0	391	1	4	1	4	0
HBASE-5041	0	8	0	3	0	1	0
HBASE-5041	8	23	1	3	1	1	0
HBASE-22101	0	5	1	3	1	7	0
HBASE-8315	0	413	0	3	0	4	0
HBASE-8315	413	429	1	3	1	4	0
HBASE-4081	0	38	1	3	1	1	0
HBASE-16895	0	9	0	4	0	7	0
HBASE-16895	9	938	0	4	1	7	0
HBASE-6109	0	26	1	4	1	4	0
HBASE-21539	0	166	0	3	0	7	0
HBASE-4840	0	2	1	3	0	1	0
HBASE-8039	0	269	0	4	0	4	0
HBASE-8039	269	369	0	4	1	4	0
HBASE-8039	369	1159	1	4	0	4	0
HBASE-12590	0	27	1	3	0	4	0
HBASE-20825	0	4	1	3	1	1	0
HBASE-10180	0	1	1	3	0	6	0
HBASE-18005	0	32	1	3	1	1	0
HBASE-4792	0	1	1	2	0	1	0
HBASE-4974	0	2	1	4	1	4	0
HBASE-15332	0	1	1	3	1	1	0
HBASE-17603	0	2	0	3	0	1	0
HBASE-17603	2	6	0	1	0	1	1
HBASE-17603	6	7	1	1	1	1	1
HBASE-16189	0	2	0	2	0	7	0
HBASE-16189	2	12	1	2	1	7	0
HBASE-21410	0	125	1	3	1	4	0
HBASE-11746	0	1	0	4	0	1	0
HBASE-11746	1	1736	0	4	0	3	0
HBASE-20773	0	32	0	4	0	1	0
HBASE-20773	32	329	0	4	1	1	0
HBASE-8834	0	2148	0	3	0	7	0
HBASE-15809	0	22	0	4	0	2	0
HBASE-15809	22	661	0	4	1	2	0
HBASE-15809	661	663	0	2	1	2	1
HBASE-15809	663	784	1	2	1	2	1
HBASE-1161	0	103	1	3	0	1	0
HBASE-11376	0	5	1	4	1	4	0
HBASE-11462	0	5	0	3	1	4	0
HBASE-11462	5	40	0	3	1	4	0
HBASE-11462	40	81	0	3	1	4	0
HBASE-11462	81	1176	1	3	1	4	0
HBASE-7149	0	2376	0	3	0	14	0
HBASE-15204	0	9	1	3	1	7	0
HBASE-6795	0	3	1	2	1	1	1
HBASE-11898	0	1	1	3	1	1	0
HBASE-3805	0	6	1	4	1	4	0
HBASE-12670	0	16	0	3	0	7	0
HBASE-12670	16	83	1	3	1	7	0
HBASE-18138	0	2	0	3	0	2	0
HBASE-18138	2	715	0	3	1	2	0
HBASE-2244	0	12	1	2	1	1	0
HBASE-1162	0	112	1	3	0	1	0
HBASE-21189	0	1	1	4	1	7	0
HBASE-7155	0	17	1	3	1	1	0
HBASE-21229	0	233	0	3	0	4	0
HBASE-9451	0	4	1	3	1	1	0
HBASE-1952	0	1774	1	3	0	3	0
HBASE-16483	0	865	0	3	1	7	0
HBASE-16483	865	996	0	3	0	7	0
HBASE-9855	0	5	1	3	1	4	0
HBASE-14191	0	1	1	3	0	1	0
HBASE-19976	0	8	1	2	1	14	1
HBASE-14027	0	9	1	3	1	4	0
HBASE-18541	0	646	0	3	1	7	0
HBASE-21476	0	184	0	3	1	2	0
HBASE-2805	0	1746	1	3	0	4	0
HBASE-21145	0	45	1	4	1	4	0
HBASE-1420	0	6	1	3	1	4	0
HBASE-9131	0	317	1	3	0	1	0
HBASE-22331	0	17	0	4	0	1	0
HBASE-4001	0	438	1	3	1	1	0
HBASE-11171	0	1	0	3	1	1	0
HBASE-11171	1	2	1	3	1	7	0
HBASE-18277	0	22	0	1	0	3	0
HBASE-18277	22	98	1	1	1	3	0
HBASE-18798	0	6	1	3	1	7	0
HBASE-14819	0	3	0	3	0	7	0
HBASE-14819	3	16	1	3	1	7	0
HBASE-9698	0	1	1	3	1	1	0
HBASE-20631	0	358	0	3	1	2	0
HBASE-19472	0	3	1	3	1	4	0
HBASE-13795	0	812	0	3	0	1	0
HBASE-13795	812	1449	0	2	0	1	1
HBASE-4933	0	3	1	3	1	4	0
HBASE-17805	0	1	1	4	1	7	0
HBASE-3148	0	1629	1	3	0	4	0
HBASE-18068	0	5	1	3	1	7	0
HBASE-9954	0	5	1	3	1	3	0
HBASE-11678	0	2	1	2	1	1	1
HBASE-1020	0	3	1	3	0	4	0
HBASE-14523	0	58	1	3	1	1	0
HBASE-10867	0	4	1	4	1	6	0
HBASE-14099	0	4	0	4	1	1	0
HBASE-14099	4	230	1	3	1	4	1
HBASE-12047	0	1	1	3	1	7	0
HBASE-1385	0	54	1	3	1	1	0
HBASE-15871	0	102	0	3	0	1	0
HBASE-15871	102	321	1	3	1	1	0
HBASE-11914	0	1711	0	3	1	7	0
HBASE-20149	0	6	0	3	0	7	0
HBASE-20149	6	19	0	2	0	7	1
HBASE-20149	19	34	1	2	1	7	1
HBASE-10523	0	6	1	3	1	7	0
HBASE-1165	0	46	1	3	1	7	0
HBASE-540	0	7	1	3	0	1	0
HBASE-7481	0	76	1	3	0	1	0
HBASE-3186	0	111	1	3	0	3	0
HBASE-19208	0	555	0	3	0	4	0
HBASE-10113	0	233	1	4	0	4	0
HBASE-17210	0	84	1	3	1	7	0
HBASE-3700	0	1161	1	4	0	4	0
HBASE-16774	0	13	1	3	1	4	0
HBASE-6851	0	1	0	2	0	1	0
HBASE-6851	1	2	1	2	1	1	0
HBASE-1301	0	4	0	4	0	1	0
HBASE-1301	4	23	1	4	1	1	0
HBASE-17195	0	898	0	4	1	7	0
HBASE-20485	0	286	1	4	1	1	1
HBASE-6820	0	51	1	3	1	1	0
HBASE-22199	0	7	1	5	1	3	0
HBASE-3197	0	1350	1	3	0	1	0
HBASE-2628	0	612	1	3	0	1	0
HBASE-22131	0	1	1	3	1	3	0
HBASE-9024	0	85	0	3	0	1	0
HBASE-9024	85	1601	1	2	0	1	1
HBASE-7250	0	11	1	4	1	4	0
HBASE-8055	0	3	1	3	0	1	0
HBASE-8421	0	1	1	3	1	1	0
HBASE-14967	0	4	1	3	1	1	0
HBASE-4942	0	1	0	3	0	1	0
HBASE-4942	1	2	1	3	1	1	0
HBASE-11056	0	51	1	3	0	4	0
HBASE-13581	0	9	0	4	0	4	0
HBASE-13581	9	1479	0	4	1	4	0
HBASE-5228	0	2	1	3	1	1	0
HBASE-1798	0	1	1	3	1	1	0
HBASE-3828	0	498	1	3	0	1	0
HBASE-3743	0	1437	1	3	0	4	0
HBASE-14368	0	1	1	3	1	7	0
HBASE-15192	0	9	1	4	1	6	0
HBASE-18099	0	1	1	3	0	1	0
HBASE-19482	0	7	1	4	1	7	0
HBASE-15678	0	969	1	3	1	7	0
HBASE-13468	0	1277	0	3	0	1	0
HBASE-13468	1277	1306	1	3	1	1	0
HBASE-17477	0	3	1	4	1	7	0
HBASE-9304	0	4	1	4	1	1	1
HBASE-6422	0	76	1	3	0	2	0
HBASE-5237	0	6	1	3	1	1	0
HBASE-15727	0	36	1	3	1	4	0
HBASE-715	0	1	1	3	1	4	0
HBASE-9942	0	2012	0	4	0	1	0
HBASE-14735	0	1293	0	3	1	1	0
HBASE-12250	0	4	1	4	1	3	0
HBASE-14415	0	1343	0	3	1	2	0
HBASE-6064	0	2	0	3	0	4	0
HBASE-6064	2	1054	1	3	1	4	0
HBASE-6852	0	35	0	4	0	4	0
HBASE-6852	35	42	1	4	1	4	0
HBASE-11796	0	1	0	3	0	4	0
HBASE-11796	1	34	1	3	1	4	0
HBASE-13697	0	32	1	1	0	3	0
HBASE-4370	0	869	1	3	0	4	0
HBASE-12965	0	1562	0	3	0	4	0
HBASE-1080	0	32	1	3	0	1	0
HBASE-9920	0	8	1	3	1	3	0
HBASE-7465	0	2	1	3	1	1	0
HBASE-9838	0	5	1	4	1	1	0
HBASE-15242	0	9	0	3	0	4	0
HBASE-15242	9	1084	0	3	1	4	0
HBASE-15242	1084	1191	0	3	0	4	0
HBASE-7744	0	249	0	4	0	4	0
HBASE-7744	249	809	0	4	1	4	0
HBASE-7744	809	2294	0	4	0	4	0
HBASE-19840	0	3	0	3	0	7	0
HBASE-19840	3	16	1	3	1	7	0
HBASE-19034	0	197	0	3	0	4	0
HBASE-19034	197	420	1	3	0	7	0
HBASE-20056	0	3	0	3	0	4	0
HBASE-20056	3	5	1	4	0	1	1
HBASE-17311	0	55	1	3	1	1	0
HBASE-2708	0	1	1	3	1	4	0
HBASE-10764	0	1	1	4	1	6	0
HBASE-485	0	2	1	2	0	1	0
HBASE-16448	0	6	1	3	1	4	0
HBASE-998	0	1	1	3	0	4	0
HBASE-18221	0	8	1	3	1	7	0
HBASE-3635	0	8	0	3	0	1	0
HBASE-3635	8	9	1	3	1	1	0
HBASE-3632	0	17	1	3	1	4	0
HBASE-308	0	9	1	3	0	1	0
HBASE-13671	0	9	0	3	0	1	0
HBASE-13671	9	10	1	3	1	4	0
HBASE-7874	0	781	1	4	1	4	0
HBASE-503	0	232	0	3	0	1	0
HBASE-503	232	484	1	4	0	1	1
HBASE-13725	0	1	1	4	1	4	0
HBASE-10367	0	1364	0	3	0	4	0
HBASE-10367	1364	1373	1	3	1	4	0
HBASE-19873	0	2	1	3	1	7	0
HBASE-10270	0	565	1	4	1	4	0
HBASE-6757	0	1	1	3	0	1	0
HBASE-8177	0	1	0	3	0	7	0
HBASE-8177	1	2246	0	3	1	7	0
HBASE-2479	0	12	1	3	0	1	0
HBASE-6494	0	2479	0	4	0	4	0
HBASE-11207	0	1822	0	3	0	7	0
HBASE-3131	0	245	0	3	0	7	0
HBASE-3131	245	1393	1	3	0	13	0
HBASE-25	0	2	0	4	1	1	0
HBASE-25	2	4	0	3	1	1	1
HBASE-25	4	42	0	4	1	1	1
HBASE-25	42	101	1	5	1	1	1
HBASE-1569	0	1	0	2	0	1	0
HBASE-1569	1	2	1	2	1	1	0
HBASE-2465	0	382	1	3	0	4	0
HBASE-17514	0	88	0	4	0	4	0
HBASE-17514	88	91	1	4	1	4	0
HBASE-18626	0	73	0	1	0	1	0
HBASE-18626	73	75	0	3	0	1	1
HBASE-18626	75	216	1	3	1	1	1
HBASE-9581	0	1	1	3	1	1	1
HBASE-8412	0	2214	0	3	0	13	0
HBASE-15528	0	40	1	4	1	1	0
HBASE-2644	0	3	0	1	0	1	0
HBASE-2644	3	126	1	3	0	1	1
HBASE-16366	0	26	1	3	1	1	0
HBASE-11236	0	1135	0	3	0	1	0
HBASE-11236	1135	1380	1	2	0	1	1
HBASE-5451	0	41	1	3	1	7	0
HBASE-4911	0	1	1	3	0	7	0
HBASE-184	0	2	1	3	0	1	0
HBASE-16719	0	961	0	2	0	4	0
HBASE-21273	0	3	1	3	1	3	0
HBASE-7440	0	2	1	3	1	1	0
HBASE-9896	0	517	1	4	1	2	0
HBASE-2424	0	26	1	3	1	1	0
HBASE-18736	0	4	1	3	1	7	0
HBASE-3419	0	34	1	2	1	1	0
HBASE-15827	0	4	1	3	1	1	0
HBASE-13731	0	1	1	5	1	1	0
HBASE-19803	0	10	0	3	0	1	0
HBASE-19803	10	20	1	3	0	7	0
HBASE-13730	0	85	1	4	1	7	0
HBASE-2813	0	428	1	5	0	4	0
HBASE-11506	0	2	1	3	1	1	0
HBASE-8547	0	1	1	3	1	1	0
HBASE-12447	0	4	1	4	1	4	0
HBASE-5388	0	2	1	3	1	4	0
HBASE-2404	0	1501	1	3	0	2	0
HBASE-18238	0	30	0	3	0	7	0
HBASE-18238	30	56	1	3	1	7	0
HBASE-21082	0	190	0	2	0	7	0
HBASE-21082	190	192	1	2	1	7	0
HBASE-12245	0	1676	0	2	0	1	0
HBASE-2246	0	7	1	4	1	4	0
HBASE-6300	0	2509	0	3	1	1	0
HBASE-8130	0	1	1	3	1	1	0
HBASE-19681	0	500	0	3	0	1	0
HBASE-12247	0	1	1	3	1	1	0
HBASE-18489	0	17	1	3	1	7	0
HBASE-21443	0	1	1	3	1	7	0
HBASE-1725	0	3	1	4	0	4	0
HBASE-8011	0	5	1	4	1	7	0
HBASE-21356	0	2	1	3	1	1	0
HBASE-13991	0	1417	0	3	1	7	0
HBASE-7477	0	118	1	3	0	7	0
HBASE-15651	0	7	0	3	1	4	0
HBASE-15651	7	32	1	3	1	3	0
HBASE-8126	0	2252	0	3	0	1	0
HBASE-14782	0	6	0	3	1	1	0
HBASE-14782	6	11	0	3	1	1	0
HBASE-14782	11	13	1	3	1	1	0
HBASE-11907	0	3	0	3	0	4	0
HBASE-11907	3	19	0	3	1	4	0
HBASE-11907	19	27	1	4	1	4	1
HBASE-8467	0	290	0	4	0	1	0
HBASE-8467	290	1609	1	4	1	1	0
HBASE-11050	0	1	1	5	1	3	0
HBASE-4341	0	1	1	3	1	1	0
HBASE-14884	0	1	0	3	0	7	0
HBASE-14884	1	8	1	3	1	7	0
HBASE-411	0	100	1	3	0	1	0
HBASE-8081	0	14	1	3	1	1	0
HBASE-19159	0	17	0	4	0	4	0
HBASE-19159	17	32	1	4	1	4	0
HBASE-14441	0	172	1	3	1	2	0
HBASE-15458	0	1158	0	3	0	1	0
HBASE-16722	0	96	0	5	0	1	0
HBASE-16722	96	332	1	5	1	1	0
HBASE-3956	0	383	1	3	0	4	0
HBASE-19232	0	3	1	4	1	3	0
HBASE-20642	0	28	1	3	1	1	0
HBASE-19322	0	516	1	3	0	1	0
HBASE-21029	0	4	1	3	1	1	0
HBASE-13646	0	59	1	3	1	1	0
HBASE-18846	0	31	0	3	0	1	0
HBASE-18846	31	35	1	3	1	1	0
HBASE-8850	0	2144	0	3	0	7	0
HBASE-1490	0	3	1	4	1	4	0
HBASE-19470	0	523	0	5	0	1	0
HBASE-317	0	1	0	5	0	1	0
HBASE-317	1	3	1	5	0	1	0
HBASE-12730	0	32	0	3	0	7	0
HBASE-12730	32	34	1	3	1	7	0
HBASE-6211	0	7	1	3	1	1	0
HBASE-20155	0	13	1	3	1	7	0
HBASE-11033	0	1057	1	4	0	3	0
HBASE-3340	0	648	0	3	1	2	0
HBASE-3340	648	1767	0	3	1	2	0
HBASE-3340	1767	3076	0	3	0	2	0
HBASE-1193	0	192	1	3	0	4	0
HBASE-10636	0	1903	0	3	1	7	0
HBASE-16809	0	1	1	4	0	4	0
HBASE-14717	0	56	1	3	1	1	0
HBASE-11261	0	14	0	3	0	7	0
HBASE-11261	14	50	1	3	1	7	0
HBASE-5189	0	207	1	4	1	4	0
HBASE-17038	0	111	1	3	0	4	0
HBASE-19774	0	11	1	3	1	1	0
HBASE-12772	0	1	1	3	0	1	0
HBASE-1394	0	2	0	3	0	1	0
HBASE-1394	2	8	1	2	0	1	1
HBASE-3655	0	9	1	4	0	4	0
HBASE-19076	0	3	0	1	1	1	0
HBASE-19076	3	79	1	3	1	1	1
HBASE-5615	0	49	1	2	1	1	0
HBASE-2116	0	959	1	3	0	4	0
HBASE-13670	0	8	0	3	0	1	0
HBASE-13670	8	16	0	3	0	4	0
HBASE-13670	16	50	1	3	1	4	0
HBASE-12459	0	6	1	3	1	1	0
HBASE-3327	0	1584	1	3	0	4	0
HBASE-9512	0	4	1	4	1	1	0
HBASE-4158	0	1	1	4	1	4	0
HBASE-588	0	6	0	1	0	1	0
HBASE-588	6	7	1	1	1	1	0
HBASE-1379	0	7	1	3	1	4	0
HBASE-331	0	4	0	4	0	1	0
HBASE-331	4	9	1	4	0	1	0
HBASE-521	0	1	0	4	0	4	0
HBASE-521	1	22	1	4	1	4	0
HBASE-16311	0	18	0	4	1	4	0
HBASE-16311	18	22	0	4	0	7	0
HBASE-16311	22	32	1	4	1	7	0
HBASE-10027	0	112	1	3	1	2	0
HBASE-34	0	207	0	4	0	2	0
HBASE-34	207	225	1	4	1	2	0
HBASE-10487	0	4	1	3	1	4	0
HBASE-13395	0	595	0	3	0	7	0
HBASE-13395	595	722	1	3	1	7	0
HBASE-11265	0	23	1	3	1	1	0
HBASE-20465	0	2	1	3	1	1	0
HBASE-16552	0	1	1	5	1	1	0
HBASE-20457	0	7	0	3	0	1	0
HBASE-20457	7	26	1	3	1	1	0
HBASE-17776	0	794	0	3	0	1	0
HBASE-10414	0	179	0	3	1	4	0
HBASE-10414	179	1938	0	3	0	4	0
HBASE-11164	0	162	0	2	0	7	0
HBASE-11164	162	163	1	2	1	7	0
HBASE-4802	0	316	1	5	1	1	0
HBASE-17223	0	48	1	3	1	7	0
HBASE-3851	0	491	1	4	1	2	0
HBASE-17450	0	2	1	3	1	1	0
HBASE-19152	0	4	1	5	1	7	0
HBASE-7030	0	567	1	3	0	4	0
HBASE-2526	0	1357	1	3	0	3	0
HBASE-14711	0	4	1	3	1	1	0
HBASE-4107	0	594	1	3	0	1	0
HBASE-10669	0	1	1	4	0	1	0
HBASE-7848	0	14	0	3	0	7	0
HBASE-7848	14	37	1	3	1	4	0
HBASE-19319	0	6	1	3	1	1	0
HBASE-15030	0	1	1	3	1	1	0
HBASE-16557	0	984	0	3	0	4	0
HBASE-6345	0	14	1	3	0	1	0
HBASE-813	0	2	1	4	1	4	0
HBASE-6517	0	644	1	4	0	4	1
HBASE-11368	0	114	0	3	0	1	0
HBASE-11368	114	820	1	3	1	1	0
HBASE-18349	0	675	0	3	1	1	0
HBASE-19209	0	555	0	3	0	4	0
HBASE-14504	0	1325	0	3	1	4	0
HBASE-12782	0	31	0	2	0	1	0
HBASE-12782	31	32	1	2	1	1	0
HBASE-1076	0	10	0	3	0	1	0
HBASE-1076	10	11	0	1	0	1	1
HBASE-1076	11	1862	1	1	1	1	1
HBASE-9766	0	1	1	3	1	1	0
HBASE-5285	0	843	1	5	0	1	0
HBASE-9108	0	629	1	2	1	4	0
HBASE-1976	0	295	1	3	0	1	0
HBASE-3123	0	1329	1	4	0	1	0
HBASE-6840	0	168	1	4	1	1	0
HBASE-18722	0	120	1	4	0	1	0
HBASE-19133	0	40	0	3	0	7	0
HBASE-19133	40	58	1	3	1	7	0
