issuekey	start	end	is_dead	priority	is_assigned	issuetype	has_priority_change
HBASE-7160	2	878	0	4	1	4	0
HBASE-7160	878	2374	0	4	0	4	0
HBASE-17252	0	1	1	3	1	1	0
HBASE-8585	0	3	1	3	1	1	0
HBASE-9818	0	6	0	3	0	1	0
HBASE-9818	6	14	0	3	0	1	0
HBASE-9818	14	17	0	3	1	1	0
HBASE-9818	17	2032	0	3	1	1	0
HBASE-6742	0	3	1	4	1	4	0
HBASE-9694	0	22	1	3	1	1	0
HBASE-7531	0	1	1	3	1	1	0
HBASE-16213	0	7	0	3	0	2	0
HBASE-16213	7	48	1	3	1	2	0
HBASE-20316	0	27	1	3	1	7	0
HBASE-1236	0	88	1	5	1	4	0
HBASE-21619	0	96	1	5	1	1	0
HBASE-10964	0	1	1	3	1	1	0
HBASE-10399	0	1	0	4	0	4	0
HBASE-10399	1	1940	0	4	1	4	0
HBASE-14761	0	1	0	3	0	1	0
HBASE-14761	1	15	1	3	1	1	0
HBASE-3483	0	6	1	2	1	1	0
HBASE-21834	0	1	1	3	1	7	0
HBASE-5849	0	4	1	3	1	1	0
HBASE-17851	0	345	1	3	1	7	0
HBASE-14794	0	1	1	3	1	7	0
HBASE-19175	0	3	1	5	1	4	0
HBASE-9886	0	2	1	5	1	1	0
HBASE-15265	0	42	1	3	1	7	0
HBASE-9795	0	2037	0	3	0	2	0
HBASE-9535	0	74	0	3	1	13	0
HBASE-9535	74	550	1	3	1	13	0
HBASE-9955	0	16	0	3	0	3	0
HBASE-9955	16	24	1	3	1	3	0
HBASE-21235	0	13	1	3	0	7	0
HBASE-16369	0	446	1	2	0	3	0
HBASE-12857	0	1452	0	3	1	4	0
HBASE-12857	1452	1583	0	3	0	4	0
HBASE-675	0	82	0	4	0	4	0
HBASE-675	82	133	0	2	0	4	1
HBASE-675	133	137	0	2	0	7	1
HBASE-675	137	161	1	2	1	7	1
HBASE-18371	0	14	1	3	1	7	0
HBASE-15160	0	487	0	3	1	7	0
HBASE-15160	487	498	1	2	1	7	1
HBASE-13777	0	1	0	3	0	1	0
HBASE-13777	1	2	1	3	1	1	0
HBASE-3476	0	2	1	4	1	1	0
HBASE-10138	0	1	0	3	0	1	0
HBASE-10138	1	8	1	3	1	1	0
HBASE-15010	0	1245	0	3	0	14	0
HBASE-3831	0	1	1	4	1	4	0
HBASE-4961	0	1222	1	3	0	1	0
HBASE-7329	0	4	0	3	0	4	0
HBASE-7329	4	45	1	3	1	4	0
HBASE-22026	0	66	0	3	0	7	0
HBASE-9402	0	12	1	4	1	1	0
HBASE-21180	0	49	1	4	0	3	0
HBASE-17147	0	8	0	3	1	1	0
HBASE-17147	8	14	1	4	1	1	1
HBASE-14879	0	16	0	3	0	7	0
HBASE-14879	16	1269	0	3	1	7	0
HBASE-8476	0	2	1	4	1	1	0
HBASE-14077	0	1	1	3	1	1	0
HBASE-10581	0	4	1	2	1	1	1
HBASE-3069	0	1384	1	3	0	1	0
HBASE-15876	0	1	1	1	1	1	1
HBASE-10067	0	1991	0	3	0	1	0
HBASE-4506	0	3	1	3	1	4	0
HBASE-2425	0	663	1	3	0	3	0
HBASE-18946	0	70	0	3	1	1	0
HBASE-18946	70	71	1	3	1	1	0
HBASE-11661	0	3	1	4	1	1	0
HBASE-1259	0	2	1	3	1	1	0
HBASE-11417	0	1784	0	3	1	13	0
HBASE-2340	0	6	0	1	1	3	0
HBASE-2340	6	9	1	1	1	3	0
HBASE-10338	0	1	1	4	1	1	0
HBASE-18004	0	67	1	4	1	4	0
HBASE-8245	0	734	1	4	0	4	0
HBASE-1496	0	32	1	3	0	1	0
HBASE-294	0	1	1	4	0	1	0
HBASE-4223	0	1332	1	4	0	4	0
HBASE-9703	0	2	1	3	1	4	0
HBASE-3816	0	746	1	4	0	4	0
HBASE-9934	0	17	0	4	0	2	0
HBASE-9934	17	2014	0	4	1	2	0
HBASE-21817	0	104	0	2	1	1	0
HBASE-11173	0	433	1	3	0	2	0
HBASE-21422	0	1	1	3	1	1	0
HBASE-8227	0	738	1	3	1	4	0
HBASE-3676	0	2	1	3	1	4	0
HBASE-389	0	18	1	4	0	1	0
HBASE-4602	0	86	1	3	1	14	0
HBASE-21690	0	128	0	3	0	3	1
HBASE-10368	0	1	1	3	1	4	0
HBASE-15553	0	705	1	3	0	1	0
HBASE-13532	0	385	0	5	0	4	0
HBASE-13532	385	387	1	5	1	4	0
HBASE-9834	0	24	1	3	1	1	0
HBASE-14536	0	1	0	3	0	1	0
HBASE-14536	1	16	1	3	1	1	0
HBASE-8670	0	63	1	3	1	1	0
HBASE-12412	0	36	0	4	0	1	0
HBASE-12412	36	106	1	4	1	1	0
HBASE-10228	0	7	1	3	1	4	0
HBASE-10502	0	419	1	3	0	2	0
HBASE-9892	0	43	1	2	1	4	0
HBASE-4040	0	1624	0	4	1	2	0
HBASE-4040	1624	1667	0	4	1	2	0
HBASE-4040	1667	1967	0	3	1	2	1
HBASE-4040	1967	2879	0	3	0	2	1
HBASE-11814	0	2	1	4	1	1	0
HBASE-5320	0	2660	0	4	1	4	0
HBASE-9333	0	27	0	3	0	4	0
HBASE-9333	27	28	0	3	1	4	0
HBASE-9333	28	40	1	2	1	4	1
HBASE-6971	0	1	1	3	1	1	0
HBASE-9142	0	1	0	2	1	1	1
HBASE-9142	1	2	1	2	1	1	1
HBASE-16559	0	379	0	3	1	3	0
HBASE-16559	379	984	0	3	0	3	0
HBASE-22332	0	1	1	3	1	3	0
HBASE-21222	0	10	1	3	1	1	0
HBASE-11864	0	221	1	4	0	4	0
HBASE-10861	0	90	1	3	1	4	0
HBASE-9260	0	2097	0	4	0	2	0
HBASE-14855	0	137	0	3	0	7	0
HBASE-14855	137	153	1	3	1	7	0
HBASE-4436	0	11	0	2	0	3	0
HBASE-4436	11	39	0	2	1	3	0
HBASE-4436	39	555	1	3	1	3	1
HBASE-21564	0	47	0	3	1	1	0
HBASE-21564	47	160	0	2	1	1	1
HBASE-21580	0	29	0	3	0	7	0
HBASE-21580	29	31	1	3	1	7	0
HBASE-4157	0	389	1	4	0	4	0
HBASE-12429	0	54	1	3	1	4	0
HBASE-3691	0	57	1	2	0	3	0
HBASE-11122	0	1836	0	3	0	3	0
HBASE-4463	0	69	1	3	1	4	0
HBASE-9894	0	7	1	4	1	4	0
HBASE-17036	0	174	1	4	1	7	0
HBASE-9958	0	1	1	3	1	1	0
HBASE-1949	0	6	1	3	0	1	0
HBASE-1526	0	1	1	1	0	1	0
HBASE-9266	0	1	1	5	1	1	0
HBASE-10449	0	3	1	2	1	1	0
HBASE-733	0	9	1	3	1	2	0
