issuekey	start	end	is_dead	priority	is_assigned	issuetype	has_priority_change	has_desc_change	comment_count
HBASE-4946	1	2	0	3	1	1	0	0	9
HBASE-4946	2	3	0	3	1	1	0	0	11
HBASE-4946	3	5	0	3	1	1	0	0	13
HBASE-4946	5	6	1	3	1	1	0	0	24
HBASE-5968	0	204	0	3	1	1	0	1	1
HBASE-5968	204	205	1	3	1	1	0	1	5
HBASE-18110	0	1	0	3	0	7	0	0	1
HBASE-18110	1	33	0	2	0	7	1	0	1
HBASE-18110	33	34	0	2	0	7	1	0	2
HBASE-18110	34	77	0	2	0	7	1	0	3
HBASE-18110	77	159	0	1	0	7	1	0	3
HBASE-18110	159	168	0	1	1	7	1	0	4
HBASE-18110	168	174	0	1	1	5	1	0	4
HBASE-18110	174	175	0	1	1	5	1	0	5
HBASE-18110	175	204	1	1	1	5	1	0	6
HBASE-11217	0	1	1	2	1	1	0	0	14
HBASE-20311	0	418	0	4	1	1	0	0	1
HBASE-15299	0	2	1	3	0	1	0	0	1
HBASE-5142	0	2	0	3	0	7	0	0	1
HBASE-5142	2	1190	1	3	0	7	0	1	1
HBASE-7639	0	199	0	3	1	1	0	0	1
HBASE-7639	199	200	1	3	1	1	0	0	3
HBASE-11489	0	4	0	3	0	1	0	0	1
HBASE-11489	4	5	1	3	1	1	0	0	5
HBASE-19759	0	142	0	4	0	7	0	0	1
HBASE-19759	142	495	0	4	1	7	0	0	1
HBASE-20330	0	1	0	3	1	1	0	0	3
HBASE-20330	1	2	0	3	1	1	0	1	6
HBASE-20330	2	3	0	3	1	1	0	1	13
HBASE-20330	3	4	0	3	1	1	0	1	26
HBASE-20330	4	8	1	3	1	1	0	1	27
HBASE-10075	0	1	0	3	0	2	0	0	1
HBASE-10075	1	306	0	3	0	2	0	0	2
HBASE-10075	306	1955	1	3	0	2	0	0	3
HBASE-16573	0	986	0	3	1	1	0	0	4
HBASE-3649	0	1	0	3	1	4	0	0	1
HBASE-3649	1	7	0	3	1	4	0	0	3
HBASE-3649	7	31	1	3	1	4	0	0	4
HBASE-3354	0	178	0	3	0	6	0	0	1
HBASE-3354	178	260	0	3	0	6	0	0	2
HBASE-3354	260	485	1	3	1	6	0	0	2
HBASE-3378	0	457	0	3	0	1	0	0	1
HBASE-3378	457	648	1	3	0	1	0	0	2
HBASE-21975	0	1	0	3	1	4	0	0	7
HBASE-21975	1	81	0	3	1	4	0	0	8
HBASE-5898	0	2	0	3	0	4	0	0	5
HBASE-5898	2	3	0	2	1	4	1	0	16
HBASE-5898	3	9	0	2	1	4	1	0	18
HBASE-5898	9	10	0	2	1	4	1	0	19
HBASE-5898	10	11	0	2	1	4	1	0	21
HBASE-5898	11	174	0	2	1	4	1	0	25
HBASE-5898	174	177	0	2	1	4	1	0	26
HBASE-5898	177	178	0	2	1	4	1	0	27
HBASE-5898	178	179	0	2	1	4	1	0	30
HBASE-5898	179	180	0	2	1	4	1	0	37
HBASE-5898	180	181	0	2	1	4	1	0	41
HBASE-5898	181	185	0	2	1	4	1	0	48
HBASE-5898	185	186	0	2	1	4	1	0	52
HBASE-5898	186	190	0	2	1	4	1	0	56
HBASE-5898	190	191	0	2	1	4	1	0	60
HBASE-5898	191	192	0	2	1	4	1	0	63
HBASE-5898	192	196	0	2	1	4	1	0	68
HBASE-5898	196	197	0	2	1	4	1	0	77
HBASE-5898	197	198	1	2	1	4	1	0	85
HBASE-11386	0	13	0	4	1	1	0	0	3
HBASE-11386	13	14	0	4	1	1	0	0	5
HBASE-11386	14	15	0	4	1	1	0	0	9
HBASE-11386	15	286	0	4	1	1	0	0	10
HBASE-11386	286	287	0	4	1	1	0	0	14
HBASE-11386	287	497	0	4	1	1	0	0	16
HBASE-11386	497	498	0	2	1	1	1	0	17
HBASE-11386	498	515	0	2	1	1	1	0	18
HBASE-11386	515	822	0	2	1	1	1	0	21
HBASE-11386	822	1247	1	2	1	1	1	0	22
HBASE-3271	0	1	0	3	0	4	0	0	1
HBASE-3271	1	638	0	3	0	4	0	0	3
HBASE-3271	638	639	0	3	0	4	0	0	9
HBASE-3271	639	640	1	3	0	4	0	0	16
HBASE-8651	0	15	0	4	0	1	0	0	1
HBASE-8651	15	16	1	4	1	1	0	0	1
HBASE-14308	0	1	0	4	0	3	0	0	1
HBASE-14308	1	2	0	4	0	3	0	0	3
HBASE-14308	2	3	0	4	1	3	0	0	5
HBASE-14308	3	7	0	4	1	3	0	0	7
HBASE-14308	7	11	0	4	1	3	0	0	8
HBASE-14308	11	12	0	4	1	3	0	0	14
HBASE-14308	12	83	1	4	1	3	0	0	16
HBASE-18474	0	2	0	3	0	1	0	0	5
HBASE-18474	2	3	0	3	0	1	0	0	6
HBASE-18474	3	662	0	3	1	1	0	0	7
HBASE-5359	0	43	0	3	0	1	0	0	1
HBASE-5359	43	56	1	3	0	1	0	0	2
HBASE-16612	0	1	1	4	1	1	0	0	8
HBASE-16412	0	369	0	4	0	3	0	0	1
HBASE-16412	369	586	1	4	0	3	0	0	2
HBASE-3415	0	156	0	3	0	1	0	0	4
HBASE-3415	156	1557	1	3	0	1	0	0	5
HBASE-13440	0	1503	0	3	0	1	0	0	1
HBASE-11252	0	1	1	3	1	1	0	0	2
HBASE-15673	0	1	1	3	1	1	0	0	2
HBASE-20960	0	299	0	3	0	7	0	0	1
HBASE-20657	0	2	0	3	0	1	0	0	1
HBASE-20657	2	3	0	3	1	1	0	0	1
HBASE-20657	3	6	0	3	1	1	0	0	2
HBASE-20657	6	7	0	3	1	1	0	0	6
HBASE-20657	7	8	0	2	1	1	1	0	10
HBASE-20657	8	10	0	2	1	1	1	0	13
HBASE-20657	10	11	0	2	1	1	1	0	14
HBASE-20657	11	58	0	2	1	1	1	0	15
HBASE-20657	58	62	0	2	1	1	1	0	19
HBASE-20657	62	63	0	2	1	1	1	0	21
HBASE-20657	63	64	0	2	1	1	1	0	23
HBASE-20657	64	76	0	2	1	1	1	0	25
HBASE-20657	76	120	0	2	1	1	1	0	26
HBASE-20657	120	143	0	2	1	1	1	0	27
HBASE-20657	143	260	0	2	1	1	1	0	29
HBASE-20657	260	357	0	2	1	1	1	0	30
HBASE-3028	0	1	0	3	0	1	0	0	3
HBASE-3028	1	2	1	3	0	1	0	0	4
HBASE-13601	0	1	1	3	1	1	0	0	11
HBASE-1672	0	1	0	3	0	1	0	1	1
HBASE-1672	1	2	0	3	0	1	0	1	3
HBASE-1672	2	5	1	3	0	1	0	1	5
HBASE-19506	0	21	0	3	0	7	0	0	1
HBASE-19506	21	22	0	3	0	7	0	0	3
HBASE-19506	22	23	0	3	0	7	0	0	4
HBASE-19506	23	50	0	3	0	7	0	0	5
HBASE-19506	50	53	0	3	0	7	0	0	6
HBASE-19506	53	54	0	3	0	7	0	0	7
HBASE-19506	54	55	0	3	0	7	0	0	8
HBASE-19506	55	56	0	3	0	7	0	0	9
HBASE-19506	56	57	0	3	0	7	0	0	10
HBASE-19506	57	61	0	3	0	7	0	0	11
HBASE-19506	61	63	0	3	0	7	0	0	12
HBASE-19506	63	64	0	3	0	7	0	0	13
HBASE-19506	64	67	0	3	0	7	0	0	14
HBASE-19506	67	69	0	3	0	7	0	0	16
HBASE-19506	69	70	0	3	0	7	0	0	17
HBASE-19506	70	132	1	3	0	7	0	0	20
HBASE-15183	0	94	1	3	1	3	0	0	2
HBASE-14153	0	4	0	5	0	1	0	0	1
HBASE-14153	4	5	0	5	0	1	0	0	2
HBASE-14153	5	6	1	5	0	1	0	0	3
HBASE-7510	0	2325	0	3	0	1	0	0	2
HBASE-10943	0	1	0	4	0	4	0	0	2
HBASE-10943	1	2	0	4	1	4	0	0	5
HBASE-10943	2	1784	1	4	1	4	0	0	6
HBASE-21122	0	1	0	3	0	4	0	0	2
HBASE-21122	1	267	0	3	0	4	0	0	6
HBASE-19712	0	1	0	3	1	1	0	0	4
HBASE-19712	1	2	0	3	1	1	0	0	6
HBASE-19712	2	3	1	3	1	1	0	0	7
HBASE-18133	0	17	0	3	1	4	0	0	1
HBASE-18133	17	21	0	3	1	4	0	0	3
HBASE-18133	21	266	0	3	1	4	0	0	5
HBASE-18133	266	267	0	3	1	4	0	0	6
HBASE-18133	267	268	0	3	1	4	0	0	7
HBASE-18133	268	272	0	3	1	4	0	0	10
HBASE-18133	272	273	0	3	1	4	0	0	14
HBASE-18133	273	274	1	3	1	4	0	0	22
HBASE-19	0	1	0	3	0	1	0	0	6
HBASE-19	1	2	0	3	0	1	0	0	9
HBASE-19	2	4	0	3	0	1	0	0	10
HBASE-19	4	17	0	3	0	1	0	0	11
HBASE-19	17	20	1	3	0	1	0	0	14
HBASE-8451	0	1	1	2	1	1	0	0	4
HBASE-15075	0	1	0	3	0	4	0	0	1
HBASE-15075	1	2	0	3	0	4	0	0	5
HBASE-15075	2	5	0	3	1	4	0	0	6
HBASE-15075	5	6	0	3	1	4	0	0	10
HBASE-15075	6	7	0	3	1	4	0	1	19
HBASE-15075	7	8	0	3	1	4	0	1	24
HBASE-15075	8	9	0	3	1	4	0	1	26
HBASE-15075	9	10	0	3	1	4	0	1	32
HBASE-15075	10	11	0	3	1	4	0	1	44
HBASE-15075	11	445	1	3	1	4	0	1	46
HBASE-1118	0	12	0	3	0	1	0	0	3
HBASE-1118	12	13	0	3	0	1	0	0	4
HBASE-1118	13	17	0	3	0	1	0	0	5
HBASE-1118	17	48	1	2	0	1	1	0	5
HBASE-20334	0	21	0	3	0	7	0	0	1
HBASE-20334	21	22	0	3	1	7	0	0	1
HBASE-20334	22	49	0	3	1	7	0	0	2
HBASE-20334	49	62	0	3	1	7	0	0	6
HBASE-20334	62	63	0	3	1	7	0	0	7
HBASE-20334	63	69	0	3	1	7	0	0	10
HBASE-20334	69	70	0	3	1	7	0	0	11
HBASE-20334	70	72	0	3	1	7	0	0	19
HBASE-20334	72	76	1	3	1	7	0	0	20
HBASE-11957	0	1	0	2	1	1	0	0	4
HBASE-11957	1	2	0	2	1	1	0	0	7
HBASE-11957	2	7	0	2	1	1	0	0	8
HBASE-11957	7	15	1	2	1	1	0	0	15
HBASE-16741	0	1	0	3	1	7	0	0	2
HBASE-16741	1	4	1	3	1	7	0	0	3
HBASE-12749	0	1	1	3	1	1	0	0	14
HBASE-15135	0	2	0	3	0	2	0	0	1
HBASE-15135	2	6	0	3	1	2	0	0	1
HBASE-15135	6	7	0	3	1	2	0	0	3
HBASE-15135	7	8	0	3	1	2	0	0	13
HBASE-15135	8	30	0	3	1	2	0	0	24
HBASE-15135	30	33	1	3	1	2	0	0	25
HBASE-9872	0	1	0	3	1	1	0	0	4
HBASE-9872	1	3	1	3	1	1	0	0	5
HBASE-1814	0	1	0	3	0	5	0	0	2
HBASE-1814	1	36	0	3	0	5	0	0	4
HBASE-1814	36	63	1	3	0	5	0	0	5
HBASE-11855	0	1	0	4	0	1	0	0	6
HBASE-11855	1	2	0	4	1	1	0	0	14
HBASE-11855	2	5	1	4	1	1	0	0	16
HBASE-12918	0	1	0	3	0	1	0	0	11
HBASE-12918	1	2	1	3	0	1	0	0	24
HBASE-5847	0	4	0	5	1	4	0	0	1
HBASE-5847	4	7	0	5	1	4	0	0	2
HBASE-5847	7	11	0	5	1	4	0	0	3
HBASE-5847	11	14	0	5	1	4	0	0	4
HBASE-5847	14	779	1	5	1	4	0	0	8
HBASE-19949	0	1	1	3	1	6	0	0	1
HBASE-8390	0	1	0	3	1	1	0	0	7
HBASE-8390	1	3	1	3	1	1	0	0	8
HBASE-8945	0	3	1	3	0	4	0	0	2
HBASE-9246	0	2	1	3	1	7	0	0	2
HBASE-406	0	1	0	4	1	4	0	0	1
HBASE-406	1	3	1	4	1	4	0	0	3
HBASE-13874	0	1	0	3	1	3	0	0	13
HBASE-13874	1	1442	0	3	1	3	0	0	14
HBASE-21480	0	1	0	3	0	4	0	0	3
HBASE-21480	1	2	0	3	1	4	0	0	7
HBASE-21480	2	3	0	3	1	4	0	0	12
HBASE-21480	3	4	1	3	1	4	0	0	13
HBASE-17673	0	3	0	4	1	1	0	1	6
HBASE-17673	3	6	0	4	1	1	0	1	7
HBASE-17673	6	7	1	4	1	1	0	1	9
HBASE-21781	0	1	0	3	1	1	0	1	3
HBASE-21781	1	62	1	3	1	1	0	1	9
HBASE-17041	0	925	0	2	0	1	0	0	1
HBASE-15824	0	3	0	3	1	1	0	0	4
HBASE-15824	3	4	0	3	1	1	0	0	11
HBASE-15824	4	5	1	3	1	1	0	0	15
HBASE-7160	0	2	0	4	0	4	0	1	4
HBASE-7160	2	5	0	4	1	4	0	1	9
HBASE-7160	5	8	0	4	1	4	0	1	13
HBASE-7160	8	12	0	4	1	4	0	1	15
HBASE-7160	12	878	0	4	1	4	0	1	17
HBASE-7160	878	2379	0	4	0	4	0	1	18
HBASE-17252	0	1	1	3	1	1	0	0	2
HBASE-8585	0	1	0	3	1	1	0	0	13
HBASE-8585	1	3	1	3	1	1	0	0	26
HBASE-9818	0	6	0	3	0	1	0	0	2
HBASE-9818	6	13	0	3	0	1	0	0	6
HBASE-9818	13	14	0	3	0	1	0	0	7
HBASE-9818	14	15	0	3	1	1	0	0	20
HBASE-9818	15	16	0	3	1	1	0	0	30
HBASE-9818	16	17	0	3	1	1	0	0	35
HBASE-9818	17	18	0	3	1	1	0	0	37
HBASE-9818	18	19	0	3	1	1	0	0	41
HBASE-9818	19	20	0	3	1	1	0	0	42
HBASE-9818	20	22	0	3	1	1	0	0	47
HBASE-9818	22	2037	0	3	1	1	0	0	48
HBASE-6742	0	1	0	4	1	4	0	0	4
HBASE-6742	1	3	1	4	1	4	0	0	5
HBASE-9694	0	1	0	3	1	1	0	0	2
HBASE-9694	1	2	0	3	1	1	0	0	3
HBASE-9694	2	20	0	3	1	1	0	0	6
HBASE-9694	20	22	1	3	1	1	0	0	8
HBASE-7531	0	1	1	3	1	1	0	0	4
HBASE-16213	0	1	0	3	0	2	0	0	5
HBASE-16213	1	2	0	3	0	2	0	0	9
HBASE-16213	2	3	0	3	0	2	0	0	12
HBASE-16213	3	7	0	3	0	2	0	0	15
HBASE-16213	7	8	0	3	1	2	0	1	17
HBASE-16213	8	17	0	3	1	2	0	1	22
HBASE-16213	17	18	0	3	1	2	0	1	23
HBASE-16213	18	29	0	3	1	2	0	1	25
HBASE-16213	29	30	0	3	1	2	0	1	37
HBASE-16213	30	37	0	3	1	2	0	1	44
HBASE-16213	37	42	0	3	1	2	0	1	48
HBASE-16213	42	43	0	3	1	2	0	1	52
HBASE-16213	43	44	0	3	1	2	0	1	56
HBASE-16213	44	45	0	3	1	2	0	1	61
HBASE-16213	45	48	1	3	1	2	0	1	76
HBASE-20316	0	1	0	3	1	7	0	0	2
HBASE-20316	1	5	0	3	1	7	0	0	3
HBASE-20316	5	19	0	3	1	7	0	0	5
HBASE-20316	19	20	0	3	1	7	0	0	7
HBASE-20316	20	21	0	3	1	7	0	0	8
HBASE-20316	21	22	0	3	1	7	0	0	9
HBASE-20316	22	25	0	3	1	7	0	0	10
HBASE-20316	25	26	0	3	1	7	0	0	11
HBASE-20316	26	27	1	3	1	7	0	0	12
HBASE-1236	0	10	0	5	1	4	0	0	2
HBASE-1236	10	78	0	5	1	4	0	0	6
HBASE-1236	78	79	0	5	1	4	0	0	8
HBASE-1236	79	85	0	5	1	4	0	0	10
HBASE-1236	85	86	0	5	1	4	0	0	12
HBASE-1236	86	88	1	5	1	4	0	0	13
HBASE-21619	0	96	1	5	1	1	0	0	5
HBASE-10964	0	1	1	3	1	1	0	0	7
HBASE-10399	0	1	0	4	0	4	0	0	2
HBASE-10399	1	3	0	4	1	4	0	0	3
HBASE-10399	3	8	0	4	1	4	0	0	5
HBASE-10399	8	23	0	4	1	4	0	0	8
HBASE-10399	23	1938	0	4	1	4	0	0	13
HBASE-10399	1938	1939	0	4	1	4	0	0	15
HBASE-10399	1939	1945	0	4	1	4	0	0	16
HBASE-14761	0	1	0	3	0	1	0	0	1
HBASE-14761	1	7	0	3	1	1	0	0	1
HBASE-14761	7	14	0	3	1	1	0	0	4
HBASE-14761	14	15	1	3	1	1	0	0	5
HBASE-3483	0	1	0	2	1	1	0	0	1
HBASE-3483	1	5	0	2	1	1	0	0	4
HBASE-3483	5	6	1	2	1	1	0	0	8
HBASE-21834	0	1	1	3	1	7	0	0	2
HBASE-5849	0	2	0	3	1	1	0	0	1
HBASE-5849	2	3	0	3	1	1	0	0	9
HBASE-5849	3	4	1	3	1	1	0	0	29
HBASE-17851	0	343	0	3	1	7	0	0	1
HBASE-17851	343	344	0	3	1	7	0	0	2
HBASE-17851	344	345	1	3	1	7	0	0	9
HBASE-14794	0	1	1	3	1	7	0	0	2
HBASE-19175	0	2	0	5	1	4	0	0	4
HBASE-19175	2	3	1	5	1	4	0	0	5
HBASE-9886	0	1	0	5	1	1	0	0	5
HBASE-9886	1	2	1	5	1	1	0	0	9
HBASE-15265	0	6	0	3	1	7	0	0	1
HBASE-15265	6	7	0	3	1	7	0	0	3
HBASE-15265	7	12	0	3	1	7	0	0	4
HBASE-15265	12	13	0	3	1	7	0	0	6
HBASE-15265	13	14	0	3	1	7	0	0	8
HBASE-15265	14	16	0	3	1	7	0	0	10
HBASE-15265	16	17	0	3	1	7	0	0	15
HBASE-15265	17	18	0	3	1	7	0	0	17
HBASE-15265	18	24	0	3	1	7	0	0	22
HBASE-15265	24	26	0	3	1	7	0	0	27
HBASE-15265	26	27	0	3	1	7	0	0	34
HBASE-15265	27	29	0	3	1	7	0	0	38
HBASE-15265	29	30	0	3	1	7	0	0	44
HBASE-15265	30	31	0	3	1	7	0	0	54
HBASE-15265	31	38	0	3	1	7	0	0	58
HBASE-15265	38	39	0	3	1	7	0	0	69
HBASE-15265	39	40	0	3	1	7	0	0	73
HBASE-15265	40	41	0	3	1	7	0	0	76
HBASE-15265	41	42	1	3	1	7	0	0	79
HBASE-9795	0	1	0	3	0	2	0	0	1
HBASE-9795	1	2042	0	3	0	2	0	0	2
HBASE-9535	0	1	0	3	1	5	0	0	4
HBASE-9535	1	3	0	3	1	5	0	0	8
HBASE-9535	3	4	0	3	1	5	0	0	9
HBASE-9535	4	72	0	3	1	5	0	0	11
HBASE-9535	72	73	0	3	1	5	0	0	16
HBASE-9535	73	74	0	3	1	5	0	0	22
HBASE-9535	74	75	0	3	1	5	0	0	26
HBASE-9535	75	77	0	3	1	5	0	0	29
HBASE-9535	77	550	1	3	1	5	0	0	30
HBASE-9955	0	15	0	3	0	3	0	0	1
HBASE-9955	15	16	0	3	0	3	0	0	2
HBASE-9955	16	19	0	3	1	3	0	0	4
HBASE-9955	19	24	1	3	1	3	0	0	6
HBASE-21235	0	1	0	3	0	7	0	0	1
HBASE-21235	1	13	1	3	0	7	0	0	2
HBASE-16369	0	446	1	2	0	3	0	0	3
HBASE-12857	0	1	0	3	1	4	0	0	3
HBASE-12857	1	1452	0	3	1	4	0	0	6
HBASE-12857	1452	1588	0	3	0	4	0	0	6
HBASE-675	0	35	0	4	0	4	0	0	1
HBASE-675	35	59	0	4	0	4	0	0	3
HBASE-675	59	64	0	4	0	4	0	0	4
HBASE-675	64	81	0	4	0	4	0	0	5
HBASE-675	81	82	0	4	0	4	0	0	6
HBASE-675	82	133	0	2	0	4	1	0	9
HBASE-675	133	136	0	2	0	7	1	0	9
HBASE-675	136	137	0	2	0	7	1	0	10
HBASE-675	137	141	0	2	1	7	1	0	12
HBASE-675	141	161	1	2	1	7	1	0	13
HBASE-18371	0	1	0	3	1	7	0	0	2
HBASE-18371	1	8	0	3	1	7	0	0	3
HBASE-18371	8	9	0	3	1	7	0	0	5
HBASE-18371	9	13	0	3	1	7	0	0	7
HBASE-18371	13	14	1	3	1	7	0	0	8
HBASE-15160	0	1	0	3	1	7	0	0	4
HBASE-15160	1	2	0	3	1	7	0	0	8
HBASE-15160	2	12	0	3	1	7	0	0	10
HBASE-15160	12	37	0	3	1	7	0	0	13
HBASE-15160	37	38	0	3	1	7	0	0	16
HBASE-15160	38	45	0	3	1	7	0	0	17
HBASE-15160	45	79	0	3	1	7	0	0	19
HBASE-15160	79	80	0	3	1	7	0	0	20
HBASE-15160	80	87	0	3	1	7	0	0	22
HBASE-15160	87	88	0	3	1	7	0	0	24
HBASE-15160	88	92	0	3	1	7	0	0	27
HBASE-15160	92	415	0	3	1	7	0	0	28
HBASE-15160	415	487	0	3	1	7	0	0	29
HBASE-15160	487	488	0	2	1	7	1	0	32
HBASE-15160	488	491	0	2	1	7	1	0	33
HBASE-15160	491	492	0	2	1	7	1	0	34
HBASE-15160	492	494	0	2	1	7	1	0	36
HBASE-15160	494	495	0	2	1	7	1	0	43
HBASE-15160	495	497	0	2	1	7	1	0	47
HBASE-15160	497	498	1	2	1	7	1	0	51
HBASE-13777	0	1	0	3	0	1	0	0	3
HBASE-13777	1	2	1	3	1	1	0	0	7
HBASE-3476	0	1	0	4	1	1	0	0	1
HBASE-3476	1	2	1	4	1	1	0	0	3
HBASE-10138	0	1	0	3	0	1	0	0	3
HBASE-10138	1	2	0	3	1	1	0	0	3
HBASE-10138	2	4	0	3	1	1	0	0	5
HBASE-10138	4	5	0	3	1	1	0	0	6
HBASE-10138	5	6	0	3	1	1	0	0	8
HBASE-10138	6	7	0	3	1	1	0	0	10
HBASE-10138	7	8	1	3	1	1	0	0	11
HBASE-15010	0	1250	0	3	0	5	0	0	1
HBASE-3831	0	1	1	4	1	4	0	0	1
