,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
50054,1,3,*2,1, 17,  2, 0, 1,0, 0,1,0.63333333,62
50138,1,3,1,1,* 94,  4, 0, 1,0, 1,1,0.85897436,18
50187,2,3,*2,1, 46,  5, 0, 1,*1, 0,1,0.25000000, 1
50218,8,*3,*1,1,  8,*  0,* 1,* 2,0,* 1,1,*0.68150685,*39
50220,11,*3,*1,1,* 12,*  0,* 1,* 3,*0,* 1,*2,*0.68150685,*39
50335,1,*2,1,1,  2,  0, 0, 0,0, 0,0,0.50000000, 2
50348,1,3,1,*0,  3,  0, 1, 0,0, 1,0,0.62500000, 4
50354,1,3,*2,1, 16,  3, 1, 1,0, 0,2,0.33333333,34
50385,1,4,1,1,  8,  0, 1, 1,*1, 0,1,0.46153846,38
50514,1,*5,4,1,  9,  1, 0, 1,0, 0,1,0.85714286, 1
50558,4,3,1,1, 17,*  2,* 1,* 3,0, 0,*1,0.84012539,16
50580,1,*1,1,1, 26,  2, 0, 2,0, 0,1,0.78770132,51
50603,1,3,*2,1, 15,  2, 0, 1,0, 0,1,0.54237288, 4
50781,1,3,1,1,  7,  0, 2, 1,0, 0,1,*0.16666667, 4
50798,1,*5,4,1,  4,  0, 0, 1,0, 0,1,0.66666667, 2
50936,1,3,*2,1,  3,  0, 1, 1,0, 0,1,0.79487179,16
51294,1,3,1,1,  5,  0, 1, 1,0, 1,2,*0.20000000, 2
51358,1,3,1,*0,  1,  0, 1, 0,0, 0,0,0.76859504,26
51401,1,3,*2,1, 10,  0, 0, 1,0, 0,1,0.62798635, 2
51552,1,3,*3,1,  3,  0, 0, 1,0, 0,1,0.85393258,11
51662,6,3,*1,1,*  9,*  0,* 2, 2,0, 0,1,*0.62500000,*15
51663,1,3,1,1,  9,  0, 2, 1,0, 0,*2,0.62500000,15
51723,2,3,7,1, 54,  2, 0, 1,*1, 0,*1,0.50000000,36
51743,1,3,7,1, 12,  3, 1, 0,0,* 3,0,0.50000000, 1
51936,1,3,4,*0,  1,  0, 0, 0,0, 0,0,0.78225806,23
52022,1,3,*2,1, 25,  4, 0, 1,0, 0,0,0.40000000, 4
52048,1,3,*3,1,  3,  0, 0, 1,0, 0,1,0.73480663,21
52181,1,3,*2,1, 16, 12, 0, 1,0, 0,1,0.75000000,19
52204,1,3,*7,1, 12,  0, 1, 2,0, 0,2,0.85416667,38
52206,6,*3,1,1,  7,*  0,* 2,* 4,0, 0,*1,0.83828383,*11
52318,1,3,*2,1, 30,  1, 0, 1,0, 0,1,0.75000000, 2
52531,1,4,1,1,  3,  0, 1, 1,*1, 1,0,0.84210526,20
52549,2,*4,1,1,  7,  0, 1, 1,*1, 1,3,0.77855478,20
52575,1,3,*2,1, 11,  9, 0, 1,0, 0,1,0.81702128,20
52814,1,3,*3,1,  0,  2, 0, 2,0, 0,0,0.46774194,23
52826,1,3,*3,1, 10,  4, 0, 2,0, 0,2,0.42352941,23
52942,1,3,1,1, 16,  0, 2, 1,0,* 2,1,0.76595745, 1
53109,1,*5,4,1,  4,  1, 1, 0,0, 0,1,0.44444444, 2
53112,1,*5,4,1,  8,  1, 1, 1,0, 0,2,0.55555556, 2
53205,3,*4,1,1,* 11,*  1, 0, 2,0, 0,1,0.65454545, 6
53232,3,3,1,1, 15,  0,* 0, 1,0,* 3,1,0.80000000,* 1
53233,6,3,*1,1, 15,*  0,* 0, 1,0,* 3,1,*0.72727273,* 1
53249,1,3,1,1, 19,  0, 0, 1,0,* 3,1,0.80952381, 1
53447,1,3,*2,1,  6,  0, 1, 1,0, 0,1,0.81443299, 9
53450,1,3,*6,1,  4,  0, 0, 2,0, 0,1,0.74331551,34
53487,1,3,*3,1,  3,  0, 0, 1,0, 0,1,0.50000000, 4
53488,1,3,*3,1,  4,  0, 0, 1,0, 0,1,0.50000000, 4
53497,1,3,*3,1,  4,  0, 0, 1,0, 0,1,0.50000000, 2
53535,1,3,*3,1,  0,  0, 0, 1,0, 0,1,0.81052632,13
53594,1,3,1,*0,  1,  0, 0, 0,0, 0,0,0.78260870,26
53621,1,3,*2,1, 18,  1, 1, 1,0, 0,1,0.50000000,13
53691,1,3,*2,1, 63,  1, 1, 0,0, 0,2,0.63414634,13
53786,1,*1,1,1,  8,  2, 2, 1,1, 0,1,0.71794872,17
53855,1,3,*3,1,  5,  0, 1, 1,0, 0,1,0.62962963, 1
53890,1,*5,1,1,  5,  0, 0, 1,0, 0,1,0.42857143, 6
53901,1,3,*2,1, 19,  0, 1, 1,0, 0,1,0.85786802,36
53925,1,1,1,1,  5,  0, 1, 3,*2, 1,1,0.20000000, 4
54231,1,3,*2,1,  5,  0, 1, 1,0, 0,0,0.50000000, 1
54533,1,3,*2,1,  1,  0, 2, 1,0, 0,1,0.76744186,13
54573,1,*5,1,1,  3,  0, 0, 1,0, 0,1,0.81176471,14
54593,1,*5,1,1, 17,  2, 0, 1,0, 0,0,0.33333333, 5
54621,1,3,*3,1, 13,  0, 0, 1,0, 0,1,0.73821990,23
