issuekey	start_date	start	end	is_dead	priority	issuetype	assignee	is_assigned	comment_count	link_count	affect_count	fix_count	has_priority_change	has_desc_change	has_fix_change	reporter_rep	assignee_workload
CLOUDSTACK-4841	2017-02-08	1218	1219	1	5	4	unassigned	0	0	0	0	0	0	0	0	0.6666666666666666	
CLOUDSTACK-4857	2013-10-11	0	1216	0	3	4	unassigned	0	0	0	0	0	0	0	0	0.0	
CLOUDSTACK-4857	2017-02-08	1216	1217	1	3	4	unassigned	0	0	0	0	0	0	0	0	0.6666666666666666	
CLOUDSTACK-5241	2013-11-21	0	64	0	3	4	unassigned	0	0	-1	1	1	0	0	0	0.0	
CLOUDSTACK-5241	2014-01-24	64	96	0	3	1	unassigned	0	1	-1	1	1	0	0	1	0.0	
CLOUDSTACK-5241	2014-02-25	96	370	0	3	1	unassigned	0	1	0	1	1	0	0	1	0.0	
CLOUDSTACK-5241	2014-11-26	370	376	0	3	1	yasker	1	1	0	1	1	0	0	2	0.0	1.0
CLOUDSTACK-5241	2014-12-02	376	377	0	3	1	yasker	1	1	0	1	1	0	0	2	0.0	1.0
CLOUDSTACK-5241	2014-12-03	377	378	0	3	1	yasker	1	1	0	1	3	0	0	3	0.0	1.0
CLOUDSTACK-5241	2014-12-04	378	379	1	3	1	yasker	1	5	0	1	1	0	0	4	0.5	1.0
CLOUDSTACK-5464	2013-12-11	0	240	0	3	1	unassigned	0	0	0	1	0	0	0	0	0.0	
CLOUDSTACK-5464	2014-08-08	240	2066	0	3	1	unassigned	0	1	0	1	0	0	0	0	0.0	
CLOUDSTACK-5740	2014-01-03	0	2043	0	3	1	unassigned	0	0	0	0	0	0	0	0	0.0	
CLOUDSTACK-6413	2014-04-15	0	113	0	3	2	unassigned	0	0	0	1	0	0	0	0	0.0	
CLOUDSTACK-6413	2014-08-06	113	395	0	3	2	unassigned	0	0	0	1	0	0	1	0	0.0	
CLOUDSTACK-6413	2015-05-15	395	549	0	3	2	unassigned	0	1	0	1	0	0	1	0	0.0	
CLOUDSTACK-6413	2015-10-16	549	1941	0	3	2	unassigned	0	2	0	1	0	0	1	0	0.0	
CLOUDSTACK-8104	2014-12-22	0	51	0	4	2	widodh	1	0	0	0	0	0	1	0	0.0	1.0
CLOUDSTACK-8104	2015-02-11	51	1093	0	4	2	widodh	1	1	2	0	0	0	1	0	0.0	1.0
CLOUDSTACK-8104	2017-12-19	1093	1094	1	4	2	widodh	1	2	2	0	0	0	1	0	0.3333333333333333	1.0
